City    ,State   ,WBAN No ,Lat(N)  ,Long(W) ,Elev(m) ,Pres(mb),Stn Type,Year,Month,Flat-Plate Collector Facing South at Fixed Tilt=0,Flat-Plate Collector Facing South at Fixed Tilt=Lat-15,Flat-Plate Collector Facing South at Fixed Tilt=Lat,Flat-Plate Collector Facing South at Fixed Tilt=Lat+15,Flat-Plate Collector Facing South at Fixed Tilt=90,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=0,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=Lat-15,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=Lat,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=Lat+15,2-Axis Tracking Flat-Plate Collector,1-Axis Tracking Concentrating Collector with East-West Horizontal Axis,1-Axis Tracking Concentrating Collector with North-South Horizontal Axis,1-Axis Tracking Concentrating Collector with North-South Axis Axis Tilt=Lat,2-Axis Tracking Concentrating Collector
LONG BEACH,CA, 23129, 33.82,118.15,    17,  1014,Secondary,61, 1, 2.9, 3.9, 4.5, 4.9, 4.3, 4.1, 4.9, 5.4, 5.7, 5.7, 3.5, 2.8, 3.8, 4.1
LONG BEACH,CA, 23129, 33.82,118.15,    17,  1014,Secondary,61, 2, 4.0, 5.0, 5.5, 5.7, 4.6, 5.6, 6.4, 6.8, 6.9, 6.9, 4.0, 3.9, 4.8, 5.0
LONG BEACH,CA, 23129, 33.82,118.15,    17,  1014,Secondary,61, 3, 4.8, 5.5, 5.8, 5.7, 3.9, 6.4, 7.0, 7.2, 7.1, 7.2, 3.7, 4.3, 4.9, 4.9
LONG BEACH,CA, 23129, 33.82,118.15,    17,  1014,Secondary,61, 4, 6.3, 6.7, 6.6, 6.1, 3.3, 8.4, 8.8, 8.7, 8.4, 8.8, 4.7, 6.0, 6.2, 6.3
LONG BEACH,CA, 23129, 33.82,118.15,    17,  1014,Secondary,61, 5, 6.7, 6.7, 6.3, 5.6, 2.5, 8.5, 8.6, 8.3, 7.8, 8.7, 4.3, 5.6, 5.4, 5.7
LONG BEACH,CA, 23129, 33.82,118.15,    17,  1014,Secondary,61, 6, 6.8, 6.6, 6.1, 5.3, 2.1, 8.5, 8.4, 8.0, 7.4, 8.6, 4.6, 5.8, 5.4, 5.8
LONG BEACH,CA, 23129, 33.82,118.15,    17,  1014,Secondary,61, 7, 7.1, 7.1, 6.6, 5.7, 2.4, 9.0, 9.0, 8.6, 8.0, 9.1, 4.9, 6.2, 5.8, 6.3
LONG BEACH,CA, 23129, 33.82,118.15,    17,  1014,Secondary,61, 8, 6.6, 6.8, 6.6, 6.1, 3.1, 8.2, 8.5, 8.4, 7.9, 8.5, 4.6, 5.7, 5.7, 5.9
LONG BEACH,CA, 23129, 33.82,118.15,    17,  1014,Secondary,61, 9, 5.3, 5.9, 6.0, 5.8, 3.6, 7.1, 7.5, 7.6, 7.4, 7.6, 4.1, 4.9, 5.4, 5.4
LONG BEACH,CA, 23129, 33.82,118.15,    17,  1014,Secondary,61,10, 4.3, 5.1, 5.5, 5.6, 4.3, 5.8, 6.5, 6.8, 6.8, 6.9, 3.9, 4.0, 4.8, 4.9
