"City:    ","GREENSBORO            "
"State:   ","NC"
"WBAN No: ", 13723
"Lat(N):  ", 36.08
"Long(W): ", 79.95
"Elev(m): ",   270
"Pres(mb):",   986
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 2.8, 4.1, 4.8, 5.2, 4.7, 4.3, 5.3, 5.8, 6.1, 6.2, 4.1, 3.3, 4.6, 4.9
61, 2, 2.9, 3.6, 3.9, 4.0, 3.2, 3.9, 4.4, 4.7, 4.7, 4.8, 2.5, 2.4, 3.1, 3.2
61, 3, 4.0, 4.7, 4.8, 4.7, 3.4, 5.4, 5.9, 6.1, 6.0, 6.1, 2.9, 3.4, 3.9, 3.9
61, 4, 5.3, 5.7, 5.6, 5.2, 3.0, 7.0, 7.3, 7.3, 7.0, 7.4, 3.5, 4.5, 4.7, 4.8
61, 5, 6.1, 6.1, 5.8, 5.1, 2.5, 7.9, 8.0, 7.7, 7.3, 8.1, 3.8, 5.0, 4.8, 5.1
61, 6, 6.0, 5.9, 5.4, 4.7, 2.2, 7.4, 7.3, 7.0, 6.6, 7.5, 3.2, 4.2, 3.9, 4.2
61, 7, 6.3, 6.3, 5.8, 5.1, 2.4, 8.1, 8.1, 7.8, 7.3, 8.2, 3.8, 5.0, 4.8, 5.1
61, 8, 5.3, 5.5, 5.3, 4.9, 2.7, 6.6, 6.8, 6.7, 6.3, 6.8, 3.0, 3.8, 3.8, 4.0
61, 9, 5.1, 5.8, 5.9, 5.7, 3.7, 7.2, 7.7, 7.8, 7.6, 7.8, 3.9, 4.9, 5.4, 5.4
61,10, 4.3, 5.5, 6.0, 6.1, 4.8, 6.3, 7.2, 7.5, 7.6, 7.6, 4.4, 4.6, 5.6, 5.7
61,11, 2.6, 3.6, 4.1, 4.3, 3.7, 3.8, 4.5, 4.8, 5.0, 5.0, 3.0, 2.5, 3.4, 3.5
61,12, 2.1, 3.0, 3.5, 3.7, 3.4, 3.0, 3.7, 4.1, 4.3, 4.3, 2.7, 2.0, 2.9, 3.1
62, 1, 2.2, 3.0, 3.3, 3.5, 3.2, 3.0, 3.6, 3.9, 4.0, 4.1, 2.1, 1.7, 2.4, 2.5
62, 2, 2.9, 3.6, 3.9, 4.0, 3.3, 3.9, 4.5, 4.7, 4.8, 4.8, 2.5, 2.4, 3.1, 3.2
62, 3, 4.2, 4.8, 4.9, 4.8, 3.4, 5.6, 6.0, 6.2, 6.1, 6.2, 2.9, 3.5, 4.0, 4.0
