"City:    ","LYNCHBURG             "
"State:   ","VA"
"WBAN No: ", 13733
"Lat(N):  ", 37.33
"Long(W): ", 79.20
"Elev(m): ",   279
"Pres(mb):",   984
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 2.7, 4.1, 4.8, 5.2, 4.9, 4.3, 5.3, 5.9, 6.2, 6.3, 4.1, 3.2, 4.6, 4.9
61, 2, 2.8, 3.5, 3.8, 3.9, 3.3, 3.7, 4.3, 4.5, 4.6, 4.6, 2.3, 2.2, 2.8, 2.9
61, 3, 3.9, 4.6, 4.7, 4.6, 3.3, 5.2, 5.7, 5.9, 5.8, 5.9, 3.0, 3.4, 3.9, 3.9
61, 4, 5.0, 5.4, 5.3, 4.9, 3.0, 6.6, 6.9, 6.9, 6.6, 7.0, 3.3, 4.3, 4.4, 4.5
61, 5, 5.9, 6.0, 5.6, 4.9, 2.5, 7.7, 7.7, 7.5, 7.0, 7.8, 3.7, 4.9, 4.7, 5.0
61, 6, 6.1, 5.9, 5.4, 4.7, 2.3, 7.6, 7.5, 7.2, 6.7, 7.7, 3.5, 4.5, 4.3, 4.6
61, 7, 6.2, 6.1, 5.7, 5.0, 2.5, 7.9, 7.9, 7.6, 7.1, 8.0, 3.6, 4.7, 4.5, 4.8
61, 8, 5.5, 5.7, 5.5, 5.0, 2.9, 6.9, 7.1, 7.0, 6.7, 7.2, 3.2, 4.1, 4.2, 4.3
61, 9, 5.1, 5.8, 6.0, 5.8, 3.9, 7.2, 7.8, 7.9, 7.7, 7.9, 4.1, 5.1, 5.7, 5.7
61,10, 4.1, 5.3, 5.7, 5.8, 4.7, 6.0, 6.9, 7.2, 7.3, 7.3, 4.4, 4.5, 5.6, 5.7
61,11, 2.5, 3.5, 4.0, 4.2, 3.7, 3.5, 4.3, 4.7, 4.8, 4.9, 2.9, 2.3, 3.3, 3.5
61,12, 2.0, 2.9, 3.3, 3.5, 3.3, 2.8, 3.5, 3.8, 4.1, 4.1, 2.5, 1.8, 2.7, 2.9
62, 1, 2.2, 3.0, 3.4, 3.6, 3.3, 3.0, 3.7, 4.0, 4.1, 4.2, 2.3, 1.8, 2.6, 2.8
62, 2, 2.8, 3.5, 3.8, 3.9, 3.2, 3.7, 4.3, 4.5, 4.6, 4.6, 2.5, 2.3, 3.0, 3.1
62, 3, 4.1, 4.8, 4.9, 4.9, 3.6, 5.5, 6.1, 6.2, 6.1, 6.2, 2.8, 3.3, 3.8, 3.8
