"City:    ","TOPEKA                "
"State:   ","KS"
"WBAN No: ", 13996
"Lat(N):  ", 39.07
"Long(W): ", 95.63
"Elev(m): ",   270
"Pres(mb):",   985
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 2.6, 4.2, 4.9, 5.3, 4.9, 4.2, 5.3, 5.9, 6.2, 6.3, 4.3, 3.2, 4.7, 5.1
61, 2, 2.6, 3.3, 3.5, 3.5, 3.0, 3.3, 3.9, 4.1, 4.1, 4.1, 1.9, 1.7, 2.2, 2.3
61, 3, 3.4, 3.9, 4.0, 3.9, 2.9, 4.3, 4.7, 4.8, 4.7, 4.8, 2.0, 2.3, 2.7, 2.7
61, 4, 5.2, 5.6, 5.5, 5.1, 3.2, 6.9, 7.3, 7.2, 6.9, 7.3, 3.5, 4.6, 4.8, 4.9
61, 5, 5.5, 5.5, 5.1, 4.5, 2.4, 7.0, 7.1, 6.8, 6.4, 7.2, 3.2, 4.3, 4.2, 4.4
61, 6, 6.3, 6.2, 5.7, 4.9, 2.4, 8.2, 8.2, 7.9, 7.4, 8.4, 3.9, 5.1, 4.8, 5.2
61, 7, 6.4, 6.4, 5.9, 5.1, 2.5, 8.6, 8.7, 8.4, 7.9, 8.9, 4.5, 5.9, 5.7, 6.1
61, 8, 5.8, 6.1, 5.9, 5.4, 3.1, 7.8, 8.1, 8.0, 7.6, 8.2, 3.9, 5.2, 5.3, 5.4
61, 9, 4.5, 5.1, 5.2, 4.9, 3.4, 6.2, 6.7, 6.8, 6.6, 6.8, 3.3, 4.2, 4.7, 4.7
61,10, 3.7, 4.9, 5.2, 5.3, 4.3, 5.4, 6.3, 6.6, 6.6, 6.6, 3.8, 3.9, 4.9, 4.9
