"City:    ","CARIBOU               "
"State:   ","ME"
"WBAN No: ", 14607
"Lat(N):  ", 46.87
"Long(W): ", 68.02
"Elev(m): ",   190
"Pres(mb):",   991
"Stn Type:","Primary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 1.8, 3.4, 3.8, 4.1, 4.1, 2.9, 4.1, 4.5, 4.7, 4.7, 2.6, 1.7, 2.9, 3.0
61, 2, 2.5, 3.9, 4.3, 4.4, 4.2, 3.8, 4.8, 5.1, 5.2, 5.2, 2.5, 2.0, 3.0, 3.1
61, 3, 4.1, 5.4, 5.7, 5.7, 5.1, 6.0, 7.1, 7.3, 7.3, 7.3, 3.3, 3.7, 4.5, 4.6
61, 4, 4.7, 5.2, 5.1, 4.9, 4.1, 6.1, 6.5, 6.5, 6.3, 6.5, 1.9, 2.4, 2.6, 2.7
61, 5, 5.1, 5.3, 4.9, 4.4, 3.0, 6.7, 6.9, 6.7, 6.3, 7.0, 2.9, 3.9, 3.9, 4.1
61, 6, 5.8, 5.7, 5.3, 4.6, 2.8, 7.6, 7.6, 7.3, 6.8, 7.8, 3.5, 4.6, 4.4, 4.8
61, 7, 5.7, 5.7, 5.3, 4.6, 2.9, 7.3, 7.4, 7.2, 6.7, 7.6, 3.4, 4.4, 4.3, 4.6
61, 8, 5.1, 5.5, 5.2, 4.7, 3.2, 7.0, 7.4, 7.3, 6.9, 7.5, 3.3, 4.4, 4.6, 4.8
61, 9, 3.4, 4.0, 4.0, 3.8, 2.9, 4.6, 5.1, 5.1, 4.9, 5.1, 2.3, 2.7, 3.2, 3.2
61,10, 2.4, 3.3, 3.5, 3.5, 3.0, 3.2, 3.9, 4.1, 4.1, 4.1, 2.1, 1.9, 2.6, 2.6
61,11, 1.3, 2.0, 2.1, 2.2, 2.0, 1.7, 2.2, 2.3, 2.4, 2.4, 1.1, 0.8, 1.2, 1.3
61,12, 1.1, 2.0, 2.2, 2.4, 2.4, 1.7, 2.3, 2.5, 2.7, 2.7, 1.4, 0.8, 1.4, 1.5
62, 1, 1.6, 3.0, 3.4, 3.6, 3.6, 2.6, 3.6, 3.9, 4.1, 4.2, 2.5, 1.6, 2.7, 2.9
62, 2, 2.6, 4.1, 4.6, 4.8, 4.6, 4.1, 5.2, 5.6, 5.7, 5.7, 3.1, 2.5, 3.7, 3.8
62, 3, 3.8, 5.1, 5.3, 5.3, 4.6, 5.6, 6.6, 6.8, 6.7, 6.8, 3.4, 3.6, 4.5, 4.5
62, 4, 4.5, 5.0, 4.9, 4.6, 3.5, 6.1, 6.5, 6.5, 6.3, 6.6, 2.6, 3.4, 3.7, 3.7
