"City:    ","INTERNATIONAL FALLS   "
"State:   ","MN"
"WBAN No: ", 14918
"Lat(N):  ", 48.57
"Long(W): ", 93.38
"Elev(m): ",   361
"Pres(mb):",   972
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 1.5, 2.9, 3.3, 3.6, 3.5, 2.5, 3.5, 3.8, 4.1, 4.1, 2.4, 1.5, 2.5, 2.7
61, 2, 2.3, 3.6, 3.9, 4.1, 3.9, 3.3, 4.3, 4.6, 4.7, 4.7, 2.2, 1.6, 2.5, 2.6
61, 3, 3.6, 4.9, 5.1, 5.1, 4.6, 5.2, 6.2, 6.3, 6.3, 6.4, 3.0, 3.0, 3.9, 3.9
61, 4, 4.4, 5.0, 4.9, 4.5, 3.4, 6.1, 6.6, 6.5, 6.3, 6.6, 2.8, 3.6, 4.0, 4.1
61, 5, 6.3, 6.6, 6.2, 5.4, 3.5, 8.9, 9.3, 9.0, 8.5, 9.4, 4.9, 6.4, 6.5, 6.9
61, 6, 6.7, 6.6, 6.0, 5.2, 3.3, 9.2, 9.3, 9.0, 8.4, 9.6, 4.6, 6.2, 5.9, 6.4
61, 7, 5.8, 5.8, 5.4, 4.7, 3.0, 7.9, 8.1, 7.8, 7.4, 8.3, 3.9, 5.2, 5.1, 5.4
61, 8, 5.3, 5.8, 5.5, 5.0, 3.5, 7.6, 8.1, 7.9, 7.5, 8.1, 3.8, 5.2, 5.4, 5.6
61, 9, 3.1, 3.6, 3.6, 3.4, 2.7, 4.1, 4.6, 4.5, 4.4, 4.6, 1.9, 2.2, 2.7, 2.7
61,10, 2.2, 3.1, 3.3, 3.3, 2.8, 3.1, 3.8, 3.9, 3.9, 4.0, 2.0, 1.8, 2.6, 2.6
