"City:    ","ROCHESTER             "
"State:   ","MN"
"WBAN No: ", 14925
"Lat(N):  ", 43.92
"Long(W): ", 92.50
"Elev(m): ",   402
"Pres(mb):",   968
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 1.8, 3.1, 3.5, 3.8, 3.6, 2.8, 3.7, 4.1, 4.3, 4.3, 2.7, 1.8, 2.9, 3.1
61, 2, 2.6, 3.9, 4.3, 4.4, 4.0, 3.9, 4.8, 5.1, 5.2, 5.2, 2.8, 2.5, 3.4, 3.5
61, 3, 3.6, 4.3, 4.4, 4.4, 3.7, 4.7, 5.2, 5.3, 5.3, 5.3, 2.1, 2.2, 2.7, 2.7
61, 4, 4.1, 4.4, 4.3, 3.9, 2.7, 5.3, 5.6, 5.5, 5.2, 5.6, 2.0, 2.7, 2.9, 3.0
61, 5, 6.0, 6.1, 5.7, 5.0, 3.0, 8.2, 8.4, 8.1, 7.6, 8.5, 4.1, 5.6, 5.5, 5.8
61, 6, 6.5, 6.4, 5.9, 5.1, 2.8, 8.7, 8.8, 8.4, 7.9, 9.0, 4.3, 5.8, 5.5, 5.9
61, 7, 5.9, 5.9, 5.4, 4.7, 2.7, 7.8, 7.9, 7.6, 7.2, 8.1, 3.7, 4.9, 4.8, 5.1
61, 8, 5.9, 6.4, 6.2, 5.6, 3.6, 8.2, 8.7, 8.6, 8.2, 8.8, 4.5, 5.9, 6.1, 6.3
61, 9, 3.8, 4.5, 4.6, 4.3, 3.2, 5.2, 5.7, 5.8, 5.6, 5.8, 2.7, 3.1, 3.7, 3.7
61,10, 3.1, 4.4, 4.7, 4.8, 4.0, 4.7, 5.6, 5.9, 5.9, 5.9, 3.4, 3.3, 4.3, 4.3
