"City:    ","HILO                  "
"State:   ","HI"
"WBAN No: ", 21504
"Lat(N):  ", 19.72
"Long(W): ",155.07
"Elev(m): ",    11
"Pres(mb):",  1015
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 4.1, 4.3, 5.0, 5.4, 4.2, 5.5, 5.7, 6.2, 6.5, 6.6, 3.8, 3.8, 4.3, 4.6
61, 2, 3.5, 3.6, 3.8, 3.9, 2.7, 4.2, 4.3, 4.5, 4.5, 4.6, 1.9, 2.1, 2.3, 2.4
61, 3, 4.8, 4.8, 5.0, 4.9, 2.6, 6.2, 6.3, 6.4, 6.4, 6.5, 2.9, 3.9, 4.1, 4.1
61, 4, 4.7, 4.7, 4.7, 4.4, 1.8, 5.7, 5.7, 5.7, 5.4, 5.7, 2.3, 3.0, 3.0, 3.1
61, 5, 5.0, 4.9, 4.7, 4.2, 1.4, 5.9, 5.9, 5.7, 5.3, 5.9, 2.5, 3.2, 3.0, 3.2
61, 6, 5.9, 5.8, 5.4, 4.7, 1.3, 7.4, 7.3, 7.0, 6.5, 7.5, 3.9, 4.9, 4.6, 5.0
61, 7, 5.6, 5.6, 5.2, 4.6, 1.4, 6.9, 6.9, 6.6, 6.1, 7.0, 3.4, 4.3, 4.0, 4.3
61, 8, 5.2, 5.2, 5.0, 4.6, 1.6, 6.4, 6.4, 6.3, 6.0, 6.5, 3.0, 3.9, 3.8, 3.9
61, 9, 5.1, 5.2, 5.3, 5.1, 2.3, 6.6, 6.6, 6.7, 6.5, 6.7, 3.1, 4.2, 4.2, 4.3
61,10, 3.8, 3.9, 4.1, 4.1, 2.5, 4.6, 4.7, 4.8, 4.8, 4.9, 2.0, 2.4, 2.6, 2.6
