"City:    ","KAHULUI               "
"State:   ","HI"
"WBAN No: ", 22516
"Lat(N):  ", 20.90
"Long(W): ",156.43
"Elev(m): ",    15
"Pres(mb):",  1013
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 4.1, 4.5, 5.3, 5.8, 4.7, 5.9, 6.2, 6.7, 7.1, 7.2, 4.3, 4.3, 5.0, 5.4
61, 2, 4.4, 4.6, 5.1, 5.3, 3.7, 5.9, 6.1, 6.4, 6.6, 6.6, 3.4, 3.8, 4.3, 4.4
61, 3, 5.9, 6.1, 6.4, 6.4, 3.4, 8.3, 8.4, 8.7, 8.6, 8.7, 4.7, 6.1, 6.4, 6.4
61, 4, 5.5, 5.5, 5.4, 5.1, 2.0, 7.1, 7.2, 7.1, 6.8, 7.2, 3.3, 4.5, 4.5, 4.6
61, 5, 6.4, 6.3, 5.9, 5.2, 1.5, 8.5, 8.4, 8.2, 7.7, 8.5, 4.5, 5.9, 5.7, 6.0
61, 6, 6.5, 6.4, 5.8, 5.0, 1.4, 8.6, 8.5, 8.1, 7.5, 8.7, 4.6, 6.0, 5.6, 6.1
61, 7, 6.7, 6.6, 6.1, 5.3, 1.3, 8.9, 8.9, 8.5, 7.9, 9.0, 5.1, 6.6, 6.2, 6.7
61, 8, 6.3, 6.3, 6.1, 5.6, 1.7, 8.5, 8.5, 8.3, 7.9, 8.5, 4.5, 6.0, 5.8, 6.0
61, 9, 6.1, 6.2, 6.3, 6.1, 2.8, 8.3, 8.4, 8.5, 8.3, 8.5, 4.6, 6.1, 6.2, 6.2
61,10, 4.7, 4.9, 5.3, 5.4, 3.5, 6.2, 6.4, 6.7, 6.8, 6.8, 3.4, 4.0, 4.4, 4.4
61,11, 4.1, 4.3, 4.9, 5.3, 4.0, 5.4, 5.6, 6.1, 6.3, 6.4, 3.5, 3.6, 4.1, 4.3
