"City:    ","HONOLULU              "
"State:   ","HI"
"WBAN No: ", 22521
"Lat(N):  ", 21.33
"Long(W): ",157.92
"Elev(m): ",     5
"Pres(mb):",  1016
"Stn Type:","Primary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 4.3, 4.8, 5.6, 6.1, 4.9, 6.2, 6.5, 7.1, 7.5, 7.6, 4.7, 4.7, 5.4, 5.8
61, 2, 4.5, 4.8, 5.2, 5.4, 3.8, 6.0, 6.2, 6.6, 6.7, 6.7, 3.4, 3.9, 4.3, 4.4
61, 3, 5.9, 6.1, 6.4, 6.3, 3.4, 8.1, 8.3, 8.5, 8.5, 8.5, 4.5, 5.9, 6.2, 6.3
61, 4, 5.7, 5.8, 5.7, 5.3, 2.1, 7.3, 7.3, 7.3, 7.0, 7.4, 3.3, 4.5, 4.5, 4.6
61, 5, 6.3, 6.3, 5.9, 5.3, 1.5, 8.2, 8.2, 7.9, 7.4, 8.3, 4.1, 5.5, 5.2, 5.5
61, 6, 6.3, 6.2, 5.7, 5.0, 1.5, 8.1, 8.0, 7.7, 7.1, 8.2, 4.1, 5.2, 4.9, 5.3
61, 7, 6.4, 6.3, 5.9, 5.1, 1.4, 8.5, 8.5, 8.1, 7.6, 8.6, 4.4, 5.8, 5.5, 5.9
61, 8, 6.4, 6.4, 6.2, 5.6, 1.8, 8.6, 8.7, 8.5, 8.1, 8.7, 4.4, 6.1, 5.9, 6.1
61, 9, 5.8, 6.0, 6.1, 5.8, 2.7, 7.9, 8.0, 8.1, 7.9, 8.1, 4.0, 5.4, 5.5, 5.5
61,10, 4.7, 4.9, 5.3, 5.3, 3.4, 6.2, 6.4, 6.7, 6.7, 6.7, 3.2, 3.9, 4.2, 4.3
61,11, 4.2, 4.6, 5.2, 5.5, 4.2, 5.7, 5.9, 6.4, 6.6, 6.7, 3.7, 3.7, 4.3, 4.5
61,12, 3.8, 4.2, 4.9, 5.4, 4.5, 5.3, 5.6, 6.1, 6.5, 6.6, 3.8, 3.6, 4.2, 4.6
62, 1, 3.6, 3.9, 4.4, 4.7, 3.7, 4.8, 5.0, 5.4, 5.6, 5.7, 2.9, 2.9, 3.4, 3.6
62, 2, 4.7, 5.0, 5.6, 5.8, 4.1, 6.4, 6.7, 7.1, 7.3, 7.3, 4.0, 4.5, 5.0, 5.2
62, 3, 5.0, 5.2, 5.3, 5.2, 2.9, 6.5, 6.6, 6.8, 6.7, 6.8, 3.0, 4.0, 4.2, 4.2
