"City:    ","LIHUE                 "
"State:   ","HI"
"WBAN No: ", 22536
"Lat(N):  ", 21.98
"Long(W): ",159.35
"Elev(m): ",    45
"Pres(mb):",  1012
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 4.0, 4.4, 5.1, 5.6, 4.5, 5.7, 6.0, 6.5, 6.8, 6.9, 4.2, 4.2, 4.9, 5.2
61, 2, 4.2, 4.5, 4.9, 5.1, 3.5, 5.5, 5.7, 6.0, 6.1, 6.1, 3.2, 3.5, 3.9, 4.0
61, 3, 5.3, 5.5, 5.7, 5.6, 3.1, 7.2, 7.3, 7.5, 7.4, 7.5, 3.9, 5.2, 5.4, 5.4
61, 4, 4.8, 4.8, 4.8, 4.4, 1.9, 5.7, 5.7, 5.6, 5.4, 5.7, 2.3, 2.9, 2.9, 3.0
61, 5, 6.1, 6.0, 5.7, 5.0, 1.5, 7.8, 7.7, 7.5, 7.0, 7.8, 4.0, 5.2, 4.9, 5.2
61, 6, 5.7, 5.6, 5.2, 4.5, 1.4, 7.2, 7.1, 6.8, 6.3, 7.3, 3.6, 4.5, 4.2, 4.6
61, 7, 5.9, 5.8, 5.4, 4.8, 1.4, 7.5, 7.4, 7.1, 6.6, 7.5, 3.8, 4.8, 4.6, 4.9
61, 8, 5.6, 5.6, 5.4, 5.0, 1.8, 7.1, 7.1, 7.0, 6.6, 7.1, 3.4, 4.5, 4.4, 4.5
61, 9, 5.5, 5.6, 5.7, 5.5, 2.6, 7.2, 7.3, 7.3, 7.2, 7.4, 3.7, 4.8, 4.9, 5.0
61,10, 4.3, 4.5, 4.8, 4.9, 3.1, 5.5, 5.7, 5.9, 6.0, 6.0, 2.8, 3.4, 3.7, 3.8
