"City:    ","ALBUQUERQUE           "
"State:   ","NM"
"WBAN No: ", 23050
"Lat(N):  ", 35.05
"Long(W): ",106.62
"Elev(m): ",  1619
"Pres(mb):",   838
"Stn Type:","Primary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 3.4, 5.0, 5.9, 6.4, 5.8, 5.4, 6.5, 7.2, 7.6, 7.7, 5.3, 4.3, 6.0, 6.4
61, 2, 4.5, 5.8, 6.5, 6.8, 5.6, 6.7, 7.8, 8.3, 8.5, 8.5, 5.4, 5.3, 6.6, 6.8
61, 3, 5.3, 6.1, 6.4, 6.3, 4.5, 7.3, 8.0, 8.2, 8.2, 8.3, 4.5, 5.3, 6.0, 6.1
61, 4, 7.2, 7.6, 7.4, 6.8, 3.7,10.3,10.7,10.6,10.2,10.7, 6.0, 8.3, 8.5, 8.6
61, 5, 7.9, 7.9, 7.4, 6.5, 2.9,10.8,10.9,10.6,10.0,11.1, 6.1, 8.2, 7.9, 8.4
61, 6, 8.3, 8.1, 7.4, 6.3, 2.5,11.1,11.1,10.6, 9.9,11.3, 6.6, 8.6, 8.0, 8.7
61, 7, 7.8, 7.7, 7.2, 6.2, 2.6,10.5,10.5,10.1, 9.4,10.7, 6.0, 7.9, 7.5, 8.0
61, 8, 6.8, 7.1, 6.8, 6.2, 3.2, 9.1, 9.4, 9.3, 8.8, 9.4, 5.0, 6.5, 6.5, 6.8
61, 9, 6.0, 6.8, 7.0, 6.7, 4.3, 8.6, 9.3, 9.4, 9.2, 9.4, 5.2, 6.6, 7.2, 7.2
61,10, 5.1, 6.4, 7.0, 7.2, 5.6, 7.8, 8.8, 9.2, 9.3, 9.3, 5.8, 6.3, 7.5, 7.6
61,11, 3.3, 4.4, 5.0, 5.3, 4.7, 4.8, 5.6, 6.1, 6.3, 6.4, 3.8, 3.3, 4.4, 4.7
61,12, 2.9, 4.3, 5.1, 5.5, 5.1, 4.5, 5.6, 6.1, 6.5, 6.6, 4.5, 3.5, 4.9, 5.3
62, 1, 3.1, 4.5, 5.2, 5.6, 5.0, 4.8, 5.7, 6.3, 6.6, 6.7, 4.3, 3.5, 4.8, 5.2
62, 2, 4.2, 5.5, 6.2, 6.4, 5.3, 6.4, 7.4, 7.9, 8.1, 8.1, 4.9, 4.9, 6.1, 6.3
62, 3, 5.4, 6.4, 6.6, 6.5, 4.6, 7.8, 8.5, 8.7, 8.7, 8.8, 4.7, 5.7, 6.5, 6.5
62, 4, 6.9, 7.4, 7.3, 6.8, 3.8, 9.9,10.3,10.2, 9.8,10.3, 5.4, 7.3, 7.6, 7.7
62, 5, 8.3, 8.3, 7.7, 6.8, 2.9,11.8,11.9,11.6,10.9,12.1, 7.1, 9.7, 9.3, 9.9
62, 6, 8.4, 8.2, 7.5, 6.4, 2.5,11.5,11.4,10.9,10.2,11.6, 6.8, 9.0, 8.4, 9.1
62, 7, 7.2, 7.2, 6.7, 5.8, 2.6, 9.1, 9.1, 8.8, 8.2, 9.3, 4.8, 6.1, 5.7, 6.2
62, 8, 7.4, 7.7, 7.4, 6.7, 3.4,10.3,10.6,10.4, 9.9,10.6, 6.0, 7.9, 8.0, 8.2
62, 9, 5.5, 6.1, 6.1, 5.9, 3.7, 7.4, 7.9, 8.0, 7.8, 8.0, 4.2, 5.3, 5.8, 5.8
62,10, 4.9, 6.2, 6.8, 6.9, 5.4, 7.4, 8.4, 8.8, 8.9, 8.9, 5.5, 5.9, 7.1, 7.2
62,11, 3.6, 5.0, 5.7, 6.1, 5.3, 5.4, 6.4, 7.0, 7.3, 7.3, 4.8, 4.2, 5.6, 5.9
62,12, 3.1, 4.7, 5.6, 6.2, 5.7, 5.0, 6.2, 6.9, 7.3, 7.4, 5.2, 4.1, 5.7, 6.2
63, 1, 3.4, 5.0, 5.8, 6.3, 5.8, 5.4, 6.6, 7.2, 7.6, 7.7, 5.3, 4.3, 5.9, 6.3
63, 2, 4.3, 5.7, 6.3, 6.6, 5.4, 6.6, 7.6, 8.1, 8.3, 8.3, 5.2, 5.2, 6.5, 6.7
63, 3, 5.7, 6.7, 7.0, 6.9, 4.9, 8.2, 8.9, 9.2, 9.1, 9.2, 5.1, 6.1, 6.9, 6.9
63, 4, 7.1, 7.5, 7.4, 6.9, 3.8,10.1,10.5,10.5,10.1,10.6, 5.7, 7.7, 8.0, 8.1
63, 5, 7.7, 7.7, 7.2, 6.3, 2.8,10.5,10.6,10.3, 9.7,10.7, 5.8, 7.9, 7.6, 8.0
63, 6, 8.4, 8.0, 7.3, 6.2, 2.4,11.6,11.4,11.0,10.3,11.8, 6.7, 9.0, 8.4, 9.2
63, 7, 7.5, 7.4, 6.9, 6.0, 2.6, 9.8, 9.8, 9.4, 8.8, 9.9, 5.3, 6.9, 6.5, 7.0
63, 8, 6.7, 6.9, 6.7, 6.1, 3.2, 8.6, 8.9, 8.7, 8.3, 8.9, 4.7, 5.9, 5.9, 6.1
63, 9, 6.1, 6.8, 7.0, 6.7, 4.3, 8.4, 9.1, 9.2, 9.0, 9.2, 5.2, 6.4, 7.0, 7.0
63,10, 4.9, 6.1, 6.6, 6.8, 5.2, 7.3, 8.2, 8.6, 8.7, 8.7, 5.3, 5.8, 6.9, 7.0
63,11, 3.5, 4.9, 5.6, 6.0, 5.3, 5.3, 6.3, 6.9, 7.2, 7.3, 4.6, 4.0, 5.3, 5.6
63,12, 3.2, 4.9, 5.8, 6.4, 6.0, 5.2, 6.4, 7.1, 7.6, 7.7, 5.4, 4.1, 5.9, 6.4
64, 1, 3.4, 5.0, 5.9, 6.4, 5.8, 5.4, 6.5, 7.2, 7.6, 7.7, 5.3, 4.3, 5.9, 6.3
64, 2, 4.2, 5.5, 6.2, 6.4, 5.4, 6.4, 7.4, 7.8, 8.1, 8.1, 4.8, 4.8, 6.0, 6.2
64, 3, 5.4, 6.3, 6.6, 6.4, 4.5, 7.8, 8.4, 8.6, 8.6, 8.7, 4.5, 5.5, 6.2, 6.2
64, 4, 7.0, 7.4, 7.3, 6.7, 3.7, 9.9,10.3,10.2, 9.8,10.3, 5.6, 7.6, 7.8, 8.0
64, 5, 7.6, 7.6, 7.2, 6.3, 2.9,10.1,10.2, 9.9, 9.3,10.3, 5.3, 7.1, 6.8, 7.2
64, 6, 8.5, 8.3, 7.5, 6.4, 2.5,11.7,11.6,11.1,10.4,11.9, 6.9, 9.2, 8.6, 9.3
64, 7, 7.6, 7.5, 7.0, 6.1, 2.6, 9.8, 9.8, 9.4, 8.8, 9.9, 5.4, 6.9, 6.6, 7.0
64, 8, 6.9, 7.2, 6.9, 6.3, 3.2, 9.3, 9.5, 9.4, 8.9, 9.6, 5.1, 6.7, 6.7, 6.9
