"City:    ","EAGLE                 "
"State:   ","CO"
"WBAN No: ", 23063
"Lat(N):  ", 39.65
"Long(W): ",106.92
"Elev(m): ",  1985
"Pres(mb):",   802
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 2.9, 4.9, 5.8, 6.4, 6.3, 4.9, 6.4, 7.1, 7.6, 7.7, 5.2, 3.9, 5.7, 6.1
61, 2, 3.2, 4.5, 5.0, 5.2, 4.7, 4.8, 5.7, 6.1, 6.3, 6.3, 3.4, 3.1, 4.1, 4.3
61, 3, 4.5, 5.4, 5.7, 5.7, 4.5, 6.3, 7.0, 7.2, 7.2, 7.3, 3.6, 4.1, 4.8, 4.8
61, 4, 5.4, 5.9, 5.9, 5.5, 3.6, 7.5, 7.9, 7.9, 7.6, 7.9, 3.7, 4.8, 5.1, 5.2
61, 5, 6.6, 6.7, 6.3, 5.5, 2.9, 9.1, 9.2, 9.0, 8.5, 9.4, 4.8, 6.5, 6.4, 6.7
61, 6, 7.2, 7.0, 6.4, 5.4, 2.6,10.0,10.0, 9.6, 9.0,10.3, 5.5, 7.4, 7.0, 7.6
61, 7, 6.8, 6.7, 6.3, 5.4, 2.7, 9.3, 9.4, 9.1, 8.5, 9.6, 5.0, 6.6, 6.3, 6.8
61, 8, 5.9, 6.3, 6.1, 5.5, 3.2, 8.1, 8.4, 8.3, 7.9, 8.5, 4.3, 5.7, 5.8, 6.0
61, 9, 4.7, 5.4, 5.5, 5.3, 3.7, 6.7, 7.3, 7.3, 7.2, 7.4, 3.8, 4.7, 5.3, 5.3
61,10, 3.9, 5.3, 5.7, 5.8, 4.8, 6.0, 7.0, 7.4, 7.4, 7.4, 4.5, 4.6, 5.8, 5.8
