"City:    ","TONOPAH               "
"State:   ","NV"
"WBAN No: ", 23153
"Lat(N):  ", 38.07
"Long(W): ",117.13
"Elev(m): ",  1653
"Pres(mb):",   834
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 2.8, 4.5, 5.3, 5.8, 5.3, 4.6, 5.9, 6.5, 6.8, 6.9, 4.8, 3.7, 5.3, 5.7
61, 2, 3.5, 4.8, 5.3, 5.5, 4.7, 5.3, 6.3, 6.7, 6.8, 6.8, 4.1, 3.9, 5.1, 5.2
61, 3, 4.8, 5.8, 6.0, 5.9, 4.3, 7.0, 7.8, 8.0, 7.9, 8.0, 4.2, 5.1, 5.8, 5.9
61, 4, 6.4, 7.0, 6.9, 6.4, 3.8, 9.2, 9.7, 9.6, 9.3, 9.7, 5.2, 6.9, 7.3, 7.4
61, 5, 7.2, 7.3, 6.8, 6.0, 3.0,10.1,10.2, 9.9, 9.4,10.3, 5.6, 7.6, 7.4, 7.8
61, 6, 8.1, 7.8, 7.1, 6.1, 2.6,11.5,11.4,11.0,10.3,11.7, 6.9, 9.3, 8.8, 9.5
61, 7, 7.8, 7.7, 7.1, 6.1, 2.8,11.1,11.1,10.7,10.1,11.3, 6.5, 8.8, 8.4, 9.1
61, 8, 6.3, 6.7, 6.4, 5.8, 3.2, 8.9, 9.2, 9.1, 8.7, 9.3, 4.8, 6.5, 6.6, 6.8
61, 9, 6.1, 7.1, 7.3, 7.0, 4.7, 9.3,10.1,10.3,10.1,10.3, 5.9, 7.6, 8.4, 8.4
61,10, 4.2, 5.5, 5.9, 6.0, 4.8, 6.3, 7.3, 7.6, 7.7, 7.7, 4.5, 4.8, 5.9, 5.9
61,11, 3.0, 4.5, 5.2, 5.5, 4.9, 4.8, 5.9, 6.4, 6.7, 6.7, 4.5, 3.8, 5.2, 5.5
61,12, 2.4, 3.9, 4.6, 5.0, 4.7, 3.8, 4.9, 5.5, 5.8, 5.9, 4.0, 2.9, 4.3, 4.7
62, 1, 2.9, 4.6, 5.4, 5.9, 5.6, 4.9, 6.1, 6.7, 7.1, 7.2, 4.8, 3.8, 5.5, 5.8
