"City:    ","LOS ANGELES           "
"State:   ","CA"
"WBAN No: ", 23174
"Lat(N):  ", 33.93
"Long(W): ",118.40
"Elev(m): ",    32
"Pres(mb):",  1012
"Stn Type:","Primary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 3.0, 4.1, 4.7, 5.1, 4.5, 4.3, 5.1, 5.6, 5.9, 6.0, 3.7, 2.9, 4.1, 4.3
61, 2, 4.0, 5.1, 5.6, 5.8, 4.7, 5.7, 6.5, 6.9, 7.1, 7.1, 4.1, 4.0, 5.0, 5.1
61, 3, 5.1, 5.8, 6.1, 6.0, 4.1, 6.8, 7.3, 7.6, 7.5, 7.6, 3.9, 4.4, 5.1, 5.1
61, 4, 6.4, 6.8, 6.7, 6.2, 3.4, 8.7, 9.0, 8.9, 8.6, 9.0, 4.8, 6.3, 6.5, 6.6
61, 5, 6.8, 6.9, 6.5, 5.8, 2.6, 8.7, 8.8, 8.5, 8.0, 8.9, 4.5, 5.8, 5.6, 5.9
61, 6, 6.8, 6.7, 6.2, 5.4, 2.2, 8.2, 8.1, 7.7, 7.2, 8.3, 4.2, 5.2, 4.8, 5.3
61, 7, 7.0, 7.0, 6.5, 5.7, 2.4, 8.6, 8.6, 8.3, 7.7, 8.8, 4.6, 5.8, 5.4, 5.8
61, 8, 6.4, 6.6, 6.4, 5.9, 3.0, 7.9, 8.1, 8.0, 7.6, 8.1, 4.4, 5.3, 5.3, 5.5
61, 9, 5.4, 6.0, 6.1, 5.8, 3.6, 7.1, 7.6, 7.6, 7.4, 7.7, 4.1, 4.9, 5.3, 5.3
61,10, 4.2, 5.1, 5.5, 5.5, 4.2, 5.7, 6.4, 6.7, 6.7, 6.7, 3.7, 3.8, 4.6, 4.7
61,11, 3.1, 4.1, 4.6, 4.9, 4.2, 4.4, 5.1, 5.5, 5.7, 5.8, 3.4, 3.0, 3.9, 4.1
61,12, 2.5, 3.3, 3.8, 4.1, 3.7, 3.3, 4.0, 4.4, 4.6, 4.7, 2.8, 2.1, 2.9, 3.2
62, 1, 3.0, 4.2, 4.9, 5.2, 4.7, 4.4, 5.3, 5.8, 6.1, 6.2, 3.9, 3.2, 4.3, 4.6
62, 2, 3.1, 3.8, 4.0, 4.1, 3.2, 4.0, 4.5, 4.8, 4.8, 4.8, 2.4, 2.3, 2.9, 3.0
62, 3, 4.8, 5.5, 5.8, 5.7, 3.9, 6.4, 7.0, 7.2, 7.1, 7.2, 3.7, 4.2, 4.8, 4.8
62, 4, 6.0, 6.3, 6.3, 5.8, 3.3, 7.6, 7.9, 7.8, 7.5, 7.9, 3.9, 4.9, 5.0, 5.1
62, 5, 6.8, 6.9, 6.5, 5.8, 2.6, 8.7, 8.8, 8.5, 8.0, 8.9, 4.6, 5.9, 5.7, 6.0
62, 6, 6.1, 5.9, 5.5, 4.8, 2.1, 7.1, 7.0, 6.7, 6.2, 7.2, 3.3, 4.1, 3.8, 4.1
