"City:    ","PHOENIX               "
"State:   ","AZ"
"WBAN No: ", 23183
"Lat(N):  ", 33.43
"Long(W): ",112.02
"Elev(m): ",   339
"Pres(mb):",   974
"Stn Type:","Primary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 3.2, 4.4, 5.0, 5.4, 4.8, 4.6, 5.5, 6.0, 6.3, 6.4, 4.1, 3.3, 4.5, 4.8
61, 2, 4.7, 6.1, 6.8, 7.1, 5.8, 7.2, 8.2, 8.7, 9.0, 9.0, 5.9, 5.9, 7.3, 7.4
61, 3, 5.8, 6.7, 7.0, 6.9, 4.7, 8.3, 9.0, 9.3, 9.2, 9.3, 5.3, 6.4, 7.3, 7.3
61, 4, 7.8, 8.2, 8.1, 7.5, 3.9,11.4,11.9,11.8,11.4,11.9, 7.1, 9.8,10.1,10.3
61, 5, 8.3, 8.2, 7.7, 6.7, 2.7,11.8,11.8,11.5,10.8,12.0, 7.1, 9.7, 9.4, 9.9
61, 6, 8.4, 8.1, 7.4, 6.4, 2.3,11.3,11.2,10.7,10.0,11.4, 6.7, 8.7, 8.1, 8.8
61, 7, 7.8, 7.7, 7.1, 6.2, 2.5,10.2,10.2, 9.8, 9.2,10.4, 5.7, 7.4, 7.0, 7.5
61, 8, 6.8, 7.1, 6.8, 6.3, 3.1, 8.9, 9.1, 8.9, 8.5, 9.1, 4.6, 5.9, 5.9, 6.1
61, 9, 6.1, 6.8, 6.9, 6.7, 4.2, 8.4, 9.0, 9.1, 8.9, 9.1, 5.0, 6.2, 6.7, 6.7
61,10, 5.0, 6.2, 6.7, 6.9, 5.2, 7.3, 8.1, 8.6, 8.6, 8.6, 5.2, 5.5, 6.6, 6.7
61,11, 3.5, 4.7, 5.3, 5.6, 4.8, 5.1, 5.9, 6.4, 6.7, 6.7, 4.0, 3.5, 4.6, 4.8
61,12, 3.0, 4.1, 4.8, 5.2, 4.7, 4.3, 5.2, 5.7, 6.0, 6.1, 4.0, 3.1, 4.3, 4.7
62, 1, 3.3, 4.5, 5.2, 5.7, 5.1, 4.9, 5.8, 6.4, 6.7, 6.8, 4.5, 3.7, 5.0, 5.4
62, 2, 4.2, 5.2, 5.8, 6.0, 4.8, 6.0, 6.8, 7.3, 7.4, 7.4, 4.4, 4.4, 5.5, 5.6
62, 3, 5.7, 6.6, 6.9, 6.8, 4.6, 8.2, 8.9, 9.1, 9.0, 9.1, 5.1, 6.2, 6.9, 6.9
62, 4, 7.4, 7.8, 7.7, 7.2, 3.8,10.4,10.8,10.8,10.4,10.9, 6.0, 8.1, 8.3, 8.4
62, 5, 8.2, 8.1, 7.6, 6.7, 2.7,11.5,11.5,11.2,10.5,11.7, 6.8, 9.2, 8.9, 9.4
62, 6, 8.4, 8.1, 7.4, 6.3, 2.3,11.4,11.3,10.8,10.1,11.5, 6.6, 8.7, 8.1, 8.8
62, 7, 7.7, 7.6, 7.1, 6.2, 2.5,10.1,10.1, 9.7, 9.1,10.3, 5.3, 6.9, 6.6, 7.0
62, 8, 7.2, 7.5, 7.2, 6.6, 3.2, 9.6, 9.8, 9.7, 9.2, 9.9, 5.2, 6.7, 6.7, 6.9
62, 9, 5.6, 6.3, 6.4, 6.1, 3.8, 7.6, 8.1, 8.2, 8.0, 8.2, 4.1, 5.1, 5.5, 5.5
62,10, 5.0, 6.2, 6.8, 6.9, 5.2, 7.3, 8.2, 8.6, 8.7, 8.7, 5.1, 5.5, 6.5, 6.6
62,11, 3.6, 4.8, 5.4, 5.8, 5.0, 5.2, 6.0, 6.6, 6.8, 6.9, 4.2, 3.7, 4.8, 5.1
62,12, 3.0, 4.2, 4.9, 5.3, 4.8, 4.3, 5.2, 5.8, 6.1, 6.2, 4.0, 3.1, 4.3, 4.7
63, 1, 3.4, 4.8, 5.6, 6.0, 5.4, 5.2, 6.2, 6.8, 7.2, 7.2, 4.8, 3.9, 5.3, 5.7
63, 2, 4.4, 5.6, 6.2, 6.5, 5.2, 6.6, 7.5, 8.0, 8.2, 8.2, 4.9, 5.1, 6.2, 6.4
63, 3, 5.9, 6.8, 7.2, 7.1, 4.9, 8.6, 9.3, 9.6, 9.5, 9.6, 5.6, 6.8, 7.7, 7.7
63, 4, 7.0, 7.4, 7.3, 6.8, 3.6, 9.9,10.2,10.2, 9.8,10.3, 5.6, 7.6, 7.8, 7.9
63, 5, 8.0, 7.9, 7.4, 6.5, 2.7,10.9,11.0,10.6,10.0,11.1, 6.3, 8.5, 8.2, 8.6
63, 6, 8.6, 8.3, 7.6, 6.5, 2.3,11.9,11.8,11.3,10.6,12.1, 7.1, 9.5, 8.8, 9.6
63, 7, 7.8, 7.7, 7.2, 6.3, 2.5,10.3,10.3, 9.9, 9.2,10.4, 5.6, 7.3, 6.8, 7.3
63, 8, 6.7, 6.9, 6.7, 6.1, 3.0, 8.6, 8.8, 8.7, 8.3, 8.9, 4.5, 5.7, 5.8, 5.9
63, 9, 6.3, 7.0, 7.1, 6.9, 4.3, 8.9, 9.5, 9.6, 9.4, 9.6, 5.4, 6.9, 7.4, 7.4
63,10, 5.0, 6.2, 6.7, 6.8, 5.2, 7.3, 8.2, 8.6, 8.7, 8.7, 5.2, 5.6, 6.7, 6.8
63,11, 3.8, 5.0, 5.8, 6.2, 5.4, 5.6, 6.6, 7.2, 7.5, 7.5, 4.9, 4.3, 5.7, 6.0
63,12, 3.5, 5.1, 6.0, 6.7, 6.2, 5.5, 6.7, 7.4, 7.9, 8.1, 5.8, 4.5, 6.3, 6.8
