"City:    ","PRESCOTT              "
"State:   ","AZ"
"WBAN No: ", 23184
"Lat(N):  ", 34.65
"Long(W): ",112.43
"Elev(m): ",  1531
"Pres(mb):",   847
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 3.1, 4.5, 5.3, 5.7, 5.2, 4.9, 5.9, 6.5, 6.9, 7.0, 4.8, 3.9, 5.4, 5.8
61, 2, 4.1, 5.4, 6.0, 6.3, 5.1, 6.3, 7.2, 7.7, 7.8, 7.9, 4.9, 4.9, 6.2, 6.3
61, 3, 5.0, 5.8, 6.1, 6.1, 4.3, 7.3, 7.9, 8.2, 8.1, 8.2, 4.5, 5.5, 6.2, 6.3
61, 4, 7.1, 7.6, 7.5, 6.9, 3.7,10.6,11.0,11.0,10.6,11.1, 6.4, 8.9, 9.1, 9.3
61, 5, 7.7, 7.7, 7.1, 6.3, 2.7,11.0,11.1,10.8,10.2,11.3, 6.5, 9.0, 8.7, 9.2
61, 6, 7.9, 7.6, 6.9, 5.9, 2.2,11.1,11.0,10.5, 9.9,11.3, 6.7, 9.0, 8.4, 9.1
61, 7, 6.6, 6.4, 6.0, 5.2, 2.2, 9.0, 8.9, 8.6, 8.1, 9.1, 4.8, 6.4, 6.1, 6.6
61, 8, 5.8, 6.0, 5.8, 5.3, 2.7, 7.8, 8.0, 7.9, 7.5, 8.1, 4.0, 5.3, 5.3, 5.5
61, 9, 6.0, 6.8, 6.9, 6.7, 4.2, 8.9, 9.5, 9.6, 9.5, 9.7, 5.5, 7.2, 7.8, 7.8
61,10, 4.8, 6.0, 6.5, 6.7, 5.1, 7.4, 8.3, 8.6, 8.7, 8.8, 5.4, 6.0, 7.1, 7.2
