"City:    ","RENO                  "
"State:   ","NV"
"WBAN No: ", 23185
"Lat(N):  ", 39.50
"Long(W): ",119.78
"Elev(m): ",  1341
"Pres(mb):",   867
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 2.5, 4.1, 4.8, 5.2, 4.8, 4.1, 5.2, 5.8, 6.1, 6.2, 4.2, 3.1, 4.6, 5.0
61, 2, 3.3, 4.5, 5.0, 5.2, 4.4, 4.8, 5.8, 6.1, 6.3, 6.3, 3.7, 3.4, 4.6, 4.7
61, 3, 4.4, 5.4, 5.6, 5.5, 4.1, 6.3, 7.1, 7.2, 7.2, 7.3, 3.7, 4.3, 5.1, 5.1
61, 4, 6.3, 6.9, 6.8, 6.3, 3.9, 9.1, 9.6, 9.6, 9.2, 9.7, 5.1, 6.9, 7.2, 7.4
61, 5, 6.8, 6.8, 6.4, 5.6, 3.0, 9.3, 9.5, 9.2, 8.7, 9.6, 5.0, 6.8, 6.6, 7.0
61, 6, 8.0, 7.7, 7.1, 6.0, 2.8,11.2,11.2,10.8,10.1,11.5, 6.7, 8.9, 8.4, 9.1
61, 7, 7.8, 7.7, 7.1, 6.1, 2.9,11.1,11.1,10.8,10.1,11.4, 6.6, 8.9, 8.5, 9.1
61, 8, 6.0, 6.3, 6.1, 5.5, 3.2, 8.4, 8.7, 8.5, 8.1, 8.7, 4.4, 6.0, 6.1, 6.3
61, 9, 5.8, 6.9, 7.0, 6.8, 4.7, 8.8, 9.6, 9.8, 9.6, 9.8, 5.7, 7.2, 8.0, 8.0
61,10, 4.2, 5.6, 6.1, 6.2, 5.0, 6.5, 7.5, 7.9, 8.0, 8.0, 4.8, 5.0, 6.2, 6.3
61,11, 2.8, 4.1, 4.7, 5.0, 4.5, 4.3, 5.3, 5.8, 6.0, 6.0, 3.8, 3.2, 4.4, 4.6
61,12, 2.1, 3.5, 4.0, 4.4, 4.1, 3.3, 4.3, 4.8, 5.0, 5.1, 3.4, 2.4, 3.6, 3.9
62, 1, 2.5, 4.0, 4.7, 5.1, 4.8, 4.0, 5.1, 5.7, 6.0, 6.1, 4.0, 3.0, 4.4, 4.7
62, 2, 2.8, 3.7, 4.0, 4.1, 3.5, 3.9, 4.5, 4.8, 4.8, 4.9, 2.5, 2.3, 3.0, 3.1
62, 3, 4.6, 5.6, 5.8, 5.7, 4.3, 6.6, 7.4, 7.6, 7.5, 7.6, 4.0, 4.7, 5.4, 5.4
62, 4, 6.6, 7.3, 7.2, 6.7, 4.1, 9.6,10.2,10.1, 9.8,10.2, 5.6, 7.4, 7.8, 7.9
62, 5, 6.4, 6.5, 6.1, 5.4, 2.9, 8.9, 9.0, 8.7, 8.3, 9.1, 4.4, 6.1, 5.9, 6.2
62, 6, 8.1, 7.8, 7.2, 6.1, 2.8,11.4,11.4,11.0,10.3,11.7, 6.8, 9.1, 8.6, 9.3
62, 7, 7.6, 7.4, 6.9, 5.9, 2.9,10.6,10.7,10.3, 9.7,10.9, 6.1, 8.2, 7.9, 8.4
62, 8, 7.4, 7.9, 7.6, 6.9, 3.8,11.0,11.5,11.3,10.8,11.5, 6.8, 9.2, 9.3, 9.6
62, 9, 6.0, 7.2, 7.3, 7.0, 4.8, 9.2,10.1,10.2,10.0,10.2, 6.0, 7.7, 8.5, 8.6
62,10, 4.1, 5.7, 6.2, 6.3, 5.2, 6.5, 7.6, 8.0, 8.1, 8.1, 5.1, 5.2, 6.5, 6.6
62,11, 2.8, 4.2, 4.8, 5.1, 4.6, 4.3, 5.3, 5.8, 6.0, 6.0, 3.8, 3.1, 4.4, 4.6
