"City:    ","SCOTTSBLUFF           "
"State:   ","NE"
"WBAN No: ", 24028
"Lat(N):  ", 41.87
"Long(W): ",103.60
"Elev(m): ",  1206
"Pres(mb):",   879
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 2.3, 3.9, 4.5, 4.9, 4.6, 3.7, 4.9, 5.4, 5.7, 5.7, 3.8, 2.7, 4.2, 4.5
61, 2, 2.9, 4.2, 4.6, 4.8, 4.2, 4.4, 5.3, 5.6, 5.8, 5.8, 3.4, 3.0, 4.1, 4.2
61, 3, 4.0, 4.9, 5.1, 5.0, 4.0, 5.5, 6.3, 6.4, 6.3, 6.4, 3.2, 3.5, 4.2, 4.2
61, 4, 4.7, 5.1, 5.0, 4.6, 3.1, 6.2, 6.6, 6.5, 6.2, 6.6, 2.8, 3.6, 3.8, 3.9
61, 5, 5.5, 5.5, 5.2, 4.6, 2.6, 7.1, 7.2, 7.0, 6.6, 7.3, 3.4, 4.5, 4.4, 4.7
61, 6, 7.0, 6.8, 6.3, 5.4, 2.8, 9.4, 9.5, 9.1, 8.5, 9.7, 5.4, 7.1, 6.7, 7.3
61, 7, 6.9, 6.8, 6.3, 5.5, 2.9, 9.2, 9.4, 9.0, 8.5, 9.5, 5.2, 6.8, 6.6, 7.1
61, 8, 6.2, 6.6, 6.4, 5.8, 3.5, 8.7, 9.1, 9.0, 8.6, 9.2, 4.9, 6.5, 6.7, 6.9
61, 9, 4.4, 5.1, 5.2, 5.0, 3.6, 6.1, 6.7, 6.8, 6.6, 6.8, 3.4, 4.2, 4.8, 4.8
61,10, 3.5, 4.9, 5.3, 5.4, 4.5, 5.4, 6.4, 6.7, 6.8, 6.8, 4.0, 4.0, 5.2, 5.2
