"City:    ","BILLINGS              "
"State:   ","MT"
"WBAN No: ", 24033
"Lat(N):  ", 45.80
"Long(W): ",108.53
"Elev(m): ",  1088
"Pres(mb):",   891
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 1.7, 3.2, 3.7, 4.0, 3.8, 2.8, 3.9, 4.3, 4.5, 4.6, 2.9, 1.9, 3.2, 3.4
61, 2, 2.4, 3.7, 4.0, 4.1, 3.7, 3.5, 4.4, 4.7, 4.8, 4.8, 2.6, 2.1, 3.0, 3.1
61, 3, 3.8, 5.0, 5.2, 5.1, 4.1, 5.5, 6.4, 6.6, 6.5, 6.6, 3.3, 3.6, 4.5, 4.5
61, 4, 4.7, 5.3, 5.3, 4.9, 3.6, 6.4, 6.9, 6.8, 6.6, 6.9, 2.9, 3.7, 4.0, 4.1
61, 5, 5.7, 5.8, 5.5, 4.8, 3.0, 7.8, 8.0, 7.7, 7.3, 8.1, 3.8, 5.1, 5.1, 5.4
61, 6, 7.5, 7.4, 6.8, 5.8, 3.3,10.7,10.9,10.5, 9.8,11.1, 6.3, 8.4, 8.0, 8.7
61, 7, 6.9, 7.0, 6.5, 5.6, 3.3, 9.7,10.0, 9.6, 9.1,10.2, 5.6, 7.4, 7.2, 7.7
61, 8, 6.3, 6.9, 6.7, 6.0, 3.9, 9.2, 9.8, 9.7, 9.2, 9.9, 5.4, 7.2, 7.5, 7.7
61, 9, 3.9, 4.7, 4.7, 4.5, 3.4, 5.5, 6.1, 6.2, 6.0, 6.2, 2.9, 3.6, 4.2, 4.2
61,10, 3.1, 4.7, 5.0, 5.1, 4.5, 4.9, 6.1, 6.3, 6.4, 6.4, 3.8, 3.6, 4.8, 4.9
61,11, 2.1, 3.7, 4.2, 4.5, 4.3, 3.4, 4.6, 5.0, 5.2, 5.2, 3.3, 2.3, 3.7, 3.8
61,12, 1.4, 2.6, 3.0, 3.3, 3.2, 2.2, 3.1, 3.4, 3.6, 3.7, 2.2, 1.3, 2.3, 2.5
62, 1, 1.9, 3.4, 4.0, 4.3, 4.2, 3.0, 4.2, 4.6, 4.9, 4.9, 3.0, 1.9, 3.2, 3.4
62, 2, 2.5, 3.6, 3.9, 4.0, 3.7, 3.4, 4.3, 4.6, 4.7, 4.7, 2.3, 1.8, 2.7, 2.7
62, 3, 4.0, 5.3, 5.6, 5.5, 4.7, 5.8, 6.8, 7.0, 7.0, 7.0, 3.4, 3.6, 4.5, 4.5
