"City:    ","SALT LAKE CITY        "
"State:   ","UT"
"WBAN No: ", 24127
"Lat(N):  ", 40.77
"Long(W): ",111.97
"Elev(m): ",  1288
"Pres(mb):",   872
"Stn Type:","Primary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 2.4, 4.1, 4.7, 5.1, 4.8, 3.8, 5.1, 5.6, 5.9, 5.9, 4.0, 2.8, 4.3, 4.6
61, 2, 2.6, 3.4, 3.6, 3.7, 3.2, 3.4, 4.0, 4.2, 4.3, 4.3, 2.0, 1.8, 2.4, 2.4
61, 3, 4.0, 4.8, 4.9, 4.8, 3.6, 5.4, 6.0, 6.1, 6.0, 6.1, 2.9, 3.3, 3.9, 3.9
61, 4, 5.7, 6.3, 6.2, 5.8, 3.7, 7.8, 8.4, 8.3, 8.0, 8.4, 4.2, 5.4, 5.7, 5.8
61, 5, 6.5, 6.6, 6.2, 5.5, 3.0, 9.0, 9.2, 8.9, 8.4, 9.3, 4.6, 6.2, 6.1, 6.4
61, 6, 8.1, 7.9, 7.1, 6.1, 2.9,11.6,11.6,11.1,10.4,11.9, 6.8, 9.2, 8.7, 9.5
61, 7, 7.3, 7.2, 6.6, 5.8, 2.9,10.0,10.1, 9.7, 9.1,10.3, 5.5, 7.4, 7.1, 7.6
61, 8, 6.2, 6.6, 6.3, 5.8, 3.4, 8.5, 8.9, 8.7, 8.3, 8.9, 4.5, 5.9, 6.1, 6.3
61, 9, 4.8, 5.7, 5.7, 5.5, 3.9, 6.9, 7.5, 7.6, 7.4, 7.6, 3.9, 4.8, 5.4, 5.4
61,10, 3.6, 4.8, 5.2, 5.3, 4.3, 5.3, 6.2, 6.4, 6.5, 6.5, 3.7, 3.7, 4.7, 4.8
61,11, 2.4, 3.5, 3.9, 4.1, 3.8, 3.5, 4.3, 4.7, 4.8, 4.9, 2.8, 2.3, 3.3, 3.4
61,12, 1.8, 2.8, 3.2, 3.4, 3.2, 2.5, 3.3, 3.6, 3.8, 3.9, 2.2, 1.5, 2.3, 2.5
62, 1, 2.0, 3.0, 3.4, 3.6, 3.4, 2.9, 3.6, 3.9, 4.1, 4.1, 2.2, 1.5, 2.4, 2.5
62, 2, 2.2, 2.7, 2.8, 2.8, 2.4, 2.7, 3.0, 3.1, 3.1, 3.1, 0.9, 0.9, 1.1, 1.2
62, 3, 4.6, 5.7, 5.9, 5.9, 4.7, 6.6, 7.4, 7.6, 7.6, 7.6, 3.9, 4.5, 5.3, 5.3
62, 4, 5.6, 6.2, 6.1, 5.7, 3.7, 7.8, 8.3, 8.2, 7.9, 8.3, 4.1, 5.3, 5.6, 5.7
62, 5, 6.1, 6.2, 5.8, 5.2, 2.9, 7.9, 8.1, 7.9, 7.4, 8.2, 3.8, 5.0, 4.9, 5.2
62, 6, 7.6, 7.3, 6.7, 5.7, 2.8,10.5,10.6,10.1, 9.5,10.8, 6.1, 8.1, 7.7, 8.4
62, 7, 7.5, 7.4, 6.8, 5.9, 3.0,10.5,10.6,10.2, 9.6,10.8, 5.9, 7.9, 7.5, 8.1
62, 8, 6.8, 7.3, 7.0, 6.4, 3.7, 9.8,10.3,10.1, 9.6,10.3, 5.7, 7.6, 7.8, 8.0
62, 9, 5.9, 7.1, 7.3, 7.0, 4.9, 8.9, 9.9,10.1, 9.9,10.1, 5.9, 7.4, 8.3, 8.3
62,10, 4.0, 5.7, 6.2, 6.3, 5.2, 6.3, 7.5, 7.9, 8.0, 8.0, 5.0, 4.9, 6.3, 6.4
62,11, 2.4, 3.5, 4.0, 4.2, 3.7, 3.5, 4.4, 4.7, 4.9, 4.9, 2.9, 2.3, 3.4, 3.5
62,12, 1.9, 3.1, 3.5, 3.8, 3.6, 2.8, 3.7, 4.1, 4.3, 4.4, 2.8, 1.9, 2.9, 3.2
63, 1, 2.0, 3.1, 3.6, 3.8, 3.7, 3.0, 3.8, 4.2, 4.4, 4.4, 2.5, 1.8, 2.7, 2.9
63, 2, 3.1, 4.3, 4.7, 4.9, 4.2, 4.4, 5.4, 5.7, 5.8, 5.8, 3.5, 3.0, 4.1, 4.3
63, 3, 4.5, 5.6, 5.8, 5.8, 4.4, 6.4, 7.3, 7.5, 7.4, 7.5, 4.0, 4.5, 5.3, 5.3
63, 4, 4.5, 4.8, 4.7, 4.3, 2.9, 5.9, 6.2, 6.1, 5.8, 6.2, 2.5, 3.3, 3.5, 3.6
63, 5, 6.6, 6.7, 6.2, 5.5, 3.0, 9.1, 9.2, 8.9, 8.4, 9.3, 4.7, 6.3, 6.2, 6.6
63, 6, 6.9, 6.8, 6.2, 5.3, 2.7, 9.2, 9.3, 8.9, 8.3, 9.5, 5.1, 6.6, 6.3, 6.8
63, 7, 7.5, 7.4, 6.9, 6.0, 3.0,10.2,10.3,10.0, 9.4,10.5, 5.8, 7.6, 7.3, 7.9
63, 8, 6.1, 6.5, 6.3, 5.7, 3.4, 8.2, 8.6, 8.5, 8.1, 8.7, 4.3, 5.5, 5.7, 5.8
63, 9, 5.1, 6.1, 6.2, 6.0, 4.3, 7.4, 8.2, 8.3, 8.1, 8.3, 4.5, 5.4, 6.2, 6.2
63,10, 3.6, 4.8, 5.2, 5.2, 4.3, 5.2, 6.1, 6.4, 6.4, 6.5, 3.7, 3.6, 4.6, 4.7
63,11, 2.2, 3.1, 3.5, 3.7, 3.3, 3.0, 3.7, 4.0, 4.2, 4.2, 2.3, 1.7, 2.5, 2.7
63,12, 1.6, 2.3, 2.5, 2.7, 2.5, 2.1, 2.6, 2.8, 2.9, 3.0, 1.4, 0.9, 1.4, 1.6
64, 1, 2.0, 2.9, 3.3, 3.5, 3.4, 2.8, 3.5, 3.8, 4.0, 4.0, 2.0, 1.4, 2.1, 2.3
64, 2, 3.3, 4.8, 5.3, 5.6, 5.0, 5.0, 6.1, 6.5, 6.7, 6.7, 4.0, 3.5, 4.8, 4.9
64, 3, 4.1, 4.9, 5.1, 5.0, 4.1, 5.5, 6.1, 6.2, 6.2, 6.2, 2.6, 2.9, 3.5, 3.5
64, 4, 4.9, 5.3, 5.2, 4.8, 3.1, 6.4, 6.7, 6.7, 6.4, 6.8, 3.0, 3.9, 4.1, 4.2
64, 5, 6.1, 6.1, 5.7, 5.1, 2.8, 7.8, 8.0, 7.7, 7.3, 8.1, 3.8, 5.0, 4.9, 5.2
64, 6, 6.2, 6.1, 5.6, 4.9, 2.5, 8.0, 8.0, 7.7, 7.1, 8.2, 3.8, 5.0, 4.7, 5.1
64, 7, 7.8, 7.8, 7.1, 6.2, 3.1,11.1,11.2,10.8,10.1,11.4, 6.6, 8.8, 8.4, 9.1
64, 8, 6.6, 7.1, 6.8, 6.2, 3.6, 9.4, 9.8, 9.7, 9.2, 9.9, 5.3, 7.1, 7.3, 7.5
64, 9, 5.6, 6.8, 6.9, 6.7, 4.7, 8.4, 9.3, 9.4, 9.2, 9.4, 5.4, 6.6, 7.4, 7.4
64,10, 4.0, 5.5, 5.9, 6.0, 4.9, 6.1, 7.2, 7.5, 7.6, 7.6, 4.6, 4.6, 5.8, 5.9
64,11, 2.2, 3.1, 3.5, 3.7, 3.3, 3.0, 3.8, 4.1, 4.2, 4.2, 2.3, 1.8, 2.7, 2.8
64,12, 1.5, 2.3, 2.5, 2.7, 2.5, 2.0, 2.6, 2.8, 3.0, 3.0, 1.6, 1.0, 1.7, 1.8
65, 1, 1.7, 2.3, 2.5, 2.7, 2.5, 2.1, 2.6, 2.8, 2.9, 2.9, 1.3, 0.8, 1.3, 1.4
65, 2, 3.1, 4.4, 4.9, 5.1, 4.5, 4.6, 5.6, 5.9, 6.1, 6.1, 3.4, 3.0, 4.1, 4.2
65, 3, 4.3, 5.4, 5.6, 5.5, 4.2, 6.2, 7.0, 7.2, 7.1, 7.2, 3.8, 4.2, 5.1, 5.1
65, 4, 5.1, 5.5, 5.3, 4.9, 3.2, 6.5, 6.9, 6.8, 6.5, 6.9, 2.9, 3.7, 4.0, 4.0
65, 5, 6.3, 6.5, 6.1, 5.4, 3.0, 8.4, 8.5, 8.3, 7.8, 8.6, 4.1, 5.4, 5.3, 5.6
65, 6, 6.9, 6.7, 6.1, 5.3, 2.7, 9.1, 9.1, 8.8, 8.2, 9.4, 4.8, 6.3, 6.0, 6.5
65, 7, 7.0, 6.9, 6.4, 5.6, 2.9, 9.4, 9.5, 9.1, 8.6, 9.6, 5.0, 6.6, 6.3, 6.8
65, 8, 6.4, 6.8, 6.6, 6.0, 3.5, 8.9, 9.3, 9.2, 8.7, 9.4, 5.0, 6.6, 6.7, 6.9
65, 9, 4.7, 5.6, 5.6, 5.4, 3.8, 6.7, 7.3, 7.4, 7.2, 7.4, 3.8, 4.6, 5.2, 5.2
65,10, 4.2, 5.9, 6.5, 6.6, 5.5, 6.7, 7.9, 8.4, 8.4, 8.5, 5.3, 5.4, 6.8, 6.9
65,11, 2.2, 3.3, 3.6, 3.8, 3.4, 3.2, 3.9, 4.2, 4.4, 4.4, 2.6, 2.0, 2.9, 3.0
65,12, 1.6, 2.4, 2.7, 2.9, 2.7, 2.2, 2.8, 3.0, 3.2, 3.2, 1.6, 1.1, 1.7, 1.9
66, 1, 2.0, 3.1, 3.5, 3.7, 3.5, 3.0, 3.7, 4.1, 4.3, 4.3, 2.5, 1.8, 2.7, 2.9
66, 2, 3.1, 4.3, 4.7, 4.8, 4.3, 4.3, 5.2, 5.5, 5.7, 5.7, 2.8, 2.5, 3.4, 3.5
66, 3, 4.4, 5.4, 5.6, 5.5, 4.2, 6.3, 7.0, 7.2, 7.1, 7.2, 3.7, 4.2, 4.9, 5.0
66, 4, 6.1, 6.8, 6.7, 6.2, 4.0, 8.6, 9.2, 9.1, 8.8, 9.2, 4.8, 6.2, 6.6, 6.7
66, 5, 7.1, 7.2, 6.7, 5.9, 3.2,10.0,10.2, 9.9, 9.4,10.3, 5.6, 7.6, 7.4, 7.8
66, 6, 7.5, 7.4, 6.7, 5.8, 2.8,10.2,10.2, 9.8, 9.2,10.5, 5.7, 7.5, 7.1, 7.7
66, 7, 7.2, 7.1, 6.6, 5.7, 2.9, 9.7, 9.8, 9.5, 8.9,10.0, 5.3, 7.0, 6.7, 7.2
66, 8, 6.7, 7.2, 6.9, 6.3, 3.7, 9.6,10.0, 9.8, 9.4,10.1, 5.5, 7.3, 7.5, 7.7
66, 9, 5.0, 5.9, 6.0, 5.8, 4.1, 7.1, 7.8, 7.9, 7.8, 8.0, 4.2, 5.1, 5.7, 5.8
66,10, 3.8, 5.3, 5.7, 5.8, 4.8, 5.8, 6.9, 7.2, 7.3, 7.3, 4.4, 4.4, 5.6, 5.7
66,11, 2.2, 3.2, 3.6, 3.8, 3.4, 3.2, 3.9, 4.2, 4.4, 4.4, 2.5, 2.0, 2.9, 3.0
66,12, 1.5, 2.0, 2.2, 2.3, 2.1, 1.8, 2.3, 2.4, 2.5, 2.5, 1.2, 0.8, 1.2, 1.4
67, 1, 1.8, 2.4, 2.6, 2.7, 2.6, 2.3, 2.7, 2.9, 3.0, 3.0, 1.1, 0.8, 1.2, 1.3
67, 2, 3.1, 4.4, 4.8, 5.0, 4.3, 4.4, 5.4, 5.8, 5.9, 5.9, 3.4, 3.0, 4.0, 4.1
67, 3, 4.0, 5.0, 5.2, 5.1, 3.9, 5.6, 6.3, 6.5, 6.4, 6.5, 3.2, 3.5, 4.3, 4.3
67, 4, 4.7, 5.1, 5.0, 4.7, 3.1, 6.2, 6.5, 6.5, 6.2, 6.6, 2.7, 3.5, 3.7, 3.8
67, 5, 6.1, 6.2, 5.8, 5.2, 2.9, 8.2, 8.3, 8.1, 7.6, 8.4, 3.9, 5.3, 5.2, 5.5
67, 6, 6.4, 6.2, 5.7, 4.9, 2.5, 8.5, 8.5, 8.1, 7.6, 8.7, 4.2, 5.6, 5.3, 5.8
67, 7, 7.1, 7.1, 6.5, 5.7, 2.9, 9.7, 9.8, 9.5, 8.9,10.0, 5.3, 7.0, 6.7, 7.2
67, 8, 6.7, 7.2, 7.0, 6.3, 3.7, 9.4, 9.9, 9.7, 9.3, 9.9, 5.3, 7.0, 7.2, 7.4
67, 9, 5.2, 6.2, 6.3, 6.0, 4.3, 7.5, 8.3, 8.4, 8.2, 8.4, 4.5, 5.5, 6.2, 6.2
67,10, 3.8, 5.2, 5.6, 5.7, 4.7, 5.6, 6.6, 7.0, 7.0, 7.0, 4.1, 4.0, 5.2, 5.3
67,11, 2.4, 3.6, 4.1, 4.3, 3.8, 3.5, 4.4, 4.8, 5.0, 5.0, 3.0, 2.3, 3.3, 3.5
