"City:    ","WINNEMUCCA            "
"State:   ","NV"
"WBAN No: ", 24128
"Lat(N):  ", 40.90
"Long(W): ",117.80
"Elev(m): ",  1323
"Pres(mb):",   869
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 2.3, 3.9, 4.5, 4.9, 4.5, 3.8, 4.9, 5.4, 5.7, 5.8, 3.8, 2.8, 4.2, 4.5
61, 2, 2.5, 3.1, 3.3, 3.3, 2.8, 3.2, 3.7, 3.9, 3.9, 3.9, 1.7, 1.6, 2.1, 2.2
61, 3, 3.4, 4.0, 4.0, 3.9, 2.9, 4.4, 4.8, 4.9, 4.8, 4.9, 2.0, 2.3, 2.7, 2.7
61, 4, 5.6, 6.2, 6.1, 5.6, 3.6, 7.8, 8.3, 8.2, 7.9, 8.3, 4.0, 5.3, 5.6, 5.7
61, 5, 6.3, 6.4, 6.0, 5.3, 2.9, 8.6, 8.7, 8.5, 8.0, 8.9, 4.2, 5.8, 5.6, 6.0
61, 6, 7.4, 7.2, 6.6, 5.6, 2.8,10.3,10.3, 9.9, 9.3,10.6, 5.8, 7.7, 7.3, 7.9
61, 7, 7.6, 7.4, 6.9, 5.9, 3.0,10.7,10.8,10.5, 9.9,11.1, 6.2, 8.4, 8.0, 8.6
61, 8, 5.9, 6.3, 6.0, 5.5, 3.3, 8.1, 8.4, 8.3, 7.9, 8.5, 4.1, 5.5, 5.6, 5.8
61, 9, 5.3, 6.3, 6.4, 6.2, 4.4, 7.9, 8.7, 8.8, 8.6, 8.8, 4.8, 6.0, 6.7, 6.7
61,10, 3.7, 5.0, 5.4, 5.4, 4.4, 5.6, 6.5, 6.8, 6.8, 6.9, 3.9, 4.0, 5.0, 5.1
