"City:    ","PENDLETON             "
"State:   ","OR"
"WBAN No: ", 24155
"Lat(N):  ", 45.68
"Long(W): ",118.85
"Elev(m): ",   456
"Pres(mb):",   963
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 1.2, 1.6, 1.7, 1.7, 1.5, 1.4, 1.7, 1.8, 1.8, 1.8, 0.6, 0.4, 0.7, 0.7
61, 2, 1.7, 2.1, 2.2, 2.1, 1.8, 2.0, 2.3, 2.4, 2.3, 2.4, 0.8, 0.7, 1.0, 1.0
61, 3, 2.9, 3.5, 3.5, 3.4, 2.6, 3.8, 4.3, 4.3, 4.2, 4.3, 1.6, 1.9, 2.3, 2.3
61, 4, 4.4, 4.8, 4.7, 4.3, 3.1, 5.7, 6.1, 6.1, 5.8, 6.2, 2.6, 3.3, 3.6, 3.7
61, 5, 5.4, 5.4, 5.0, 4.4, 2.8, 7.1, 7.3, 7.0, 6.6, 7.4, 3.1, 4.3, 4.2, 4.5
61, 6, 7.6, 7.5, 6.8, 5.8, 3.3,10.8,10.9,10.5, 9.9,11.2, 6.4, 8.5, 8.1, 8.9
61, 7, 7.9, 7.9, 7.3, 6.3, 3.6,11.4,11.7,11.3,10.7,11.9, 7.0, 9.3, 9.1, 9.8
61, 8, 6.0, 6.6, 6.3, 5.7, 3.7, 8.7, 9.2, 9.1, 8.6, 9.3, 4.9, 6.5, 6.7, 6.9
61, 9, 4.9, 6.1, 6.2, 6.0, 4.5, 7.5, 8.4, 8.5, 8.3, 8.5, 4.6, 5.7, 6.5, 6.6
61,10, 2.9, 4.2, 4.4, 4.5, 3.8, 4.5, 5.4, 5.6, 5.6, 5.6, 3.1, 3.1, 4.1, 4.1
61,11, 1.9, 3.0, 3.4, 3.5, 3.3, 2.8, 3.6, 3.9, 4.0, 4.1, 2.3, 1.7, 2.6, 2.8
61,12, 1.1, 1.6, 1.8, 1.8, 1.7, 1.4, 1.8, 1.9, 2.0, 2.0, 0.8, 0.5, 0.9, 0.9
62, 1, 1.4, 2.2, 2.4, 2.5, 2.3, 1.9, 2.5, 2.7, 2.8, 2.8, 1.4, 1.0, 1.6, 1.7
62, 2, 2.1, 3.0, 3.2, 3.2, 2.8, 2.8, 3.5, 3.7, 3.7, 3.7, 1.9, 1.6, 2.3, 2.3
62, 3, 3.3, 4.0, 4.1, 4.0, 3.1, 4.5, 5.1, 5.1, 5.0, 5.1, 2.4, 2.7, 3.3, 3.3
62, 4, 5.1, 5.8, 5.7, 5.3, 3.7, 7.1, 7.7, 7.7, 7.4, 7.8, 3.8, 4.9, 5.3, 5.4
62, 5, 5.2, 5.2, 4.8, 4.3, 2.7, 6.7, 6.8, 6.6, 6.2, 6.9, 2.8, 3.8, 3.8, 4.0
62, 6, 7.4, 7.3, 6.6, 5.7, 3.2,10.6,10.7,10.3, 9.6,11.0, 5.9, 8.0, 7.7, 8.3
62, 7, 7.5, 7.5, 6.9, 6.0, 3.5,10.7,11.0,10.6,10.0,11.2, 6.2, 8.3, 8.1, 8.7
62, 8, 5.8, 6.4, 6.1, 5.6, 3.7, 8.4, 8.9, 8.8, 8.4, 8.9, 4.5, 6.1, 6.4, 6.6
62, 9, 4.9, 6.2, 6.3, 6.0, 4.5, 7.5, 8.5, 8.6, 8.4, 8.6, 4.8, 5.9, 6.8, 6.8
62,10, 2.8, 4.0, 4.2, 4.3, 3.7, 4.1, 4.9, 5.2, 5.2, 5.2, 2.9, 2.7, 3.6, 3.7
62,11, 1.5, 2.1, 2.2, 2.3, 2.0, 1.9, 2.3, 2.5, 2.5, 2.5, 1.2, 0.9, 1.4, 1.4
62,12, 1.1, 1.6, 1.7, 1.8, 1.6, 1.3, 1.7, 1.8, 1.9, 1.9, 0.9, 0.5, 0.9, 1.0
63, 1, 1.5, 2.5, 2.9, 3.0, 2.9, 2.2, 3.0, 3.3, 3.4, 3.5, 2.0, 1.3, 2.2, 2.3
