"City:    ","POCATELLO             "
"State:   ","ID"
"WBAN No: ", 24156
"Lat(N):  ", 42.92
"Long(W): ",112.60
"Elev(m): ",  1365
"Pres(mb):",   864
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 2.1, 3.6, 4.2, 4.5, 4.3, 3.3, 4.5, 4.9, 5.2, 5.2, 3.4, 2.4, 3.7, 4.0
61, 2, 2.3, 2.9, 3.1, 3.1, 2.6, 2.8, 3.3, 3.5, 3.5, 3.5, 1.5, 1.3, 1.8, 1.8
61, 3, 3.7, 4.5, 4.6, 4.4, 3.4, 5.0, 5.7, 5.7, 5.6, 5.8, 2.7, 3.0, 3.6, 3.6
61, 4, 4.9, 5.4, 5.3, 4.9, 3.3, 6.7, 7.1, 7.1, 6.8, 7.2, 3.1, 4.1, 4.4, 4.4
61, 5, 6.0, 6.1, 5.7, 5.0, 2.9, 8.1, 8.3, 8.1, 7.6, 8.4, 4.1, 5.5, 5.4, 5.7
61, 6, 7.4, 7.2, 6.5, 5.6, 2.9,10.5,10.5,10.1, 9.5,10.8, 6.0, 8.1, 7.6, 8.3
61, 7, 7.3, 7.2, 6.7, 5.8, 3.1,10.4,10.5,10.2, 9.6,10.8, 6.1, 8.2, 7.9, 8.5
61, 8, 5.8, 6.2, 5.9, 5.4, 3.3, 8.1, 8.5, 8.4, 8.0, 8.6, 4.3, 5.7, 5.9, 6.1
61, 9, 4.2, 5.0, 5.1, 4.8, 3.5, 6.1, 6.7, 6.7, 6.6, 6.8, 3.4, 4.2, 4.8, 4.8
61,10, 3.2, 4.3, 4.6, 4.7, 3.9, 4.7, 5.6, 5.8, 5.8, 5.9, 3.3, 3.3, 4.2, 4.3
