"City:    ","MEDFORD               "
"State:   ","OR"
"WBAN No: ", 24225
"Lat(N):  ", 42.37
"Long(W): ",122.87
"Elev(m): ",   396
"Pres(mb):",   970
"Stn Type:","Primary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 1.6, 2.5, 2.8, 2.9, 2.7, 2.2, 2.9, 3.1, 3.3, 3.3, 1.9, 1.3, 2.0, 2.2
61, 2, 2.0, 2.5, 2.6, 2.6, 2.2, 2.4, 2.8, 2.9, 2.9, 2.9, 1.1, 0.9, 1.3, 1.3
61, 3, 3.2, 3.7, 3.8, 3.6, 2.7, 4.1, 4.6, 4.6, 4.5, 4.6, 2.0, 2.3, 2.7, 2.7
61, 4, 5.6, 6.3, 6.2, 5.8, 3.9, 7.6, 8.2, 8.2, 7.9, 8.3, 4.2, 5.2, 5.7, 5.8
61, 5, 6.0, 6.1, 5.7, 5.0, 2.9, 8.0, 8.1, 7.9, 7.4, 8.3, 4.0, 5.3, 5.2, 5.6
61, 6, 7.6, 7.4, 6.8, 5.8, 3.0,10.6,10.6,10.2, 9.5,10.9, 6.2, 8.2, 7.8, 8.5
61, 7, 8.1, 8.0, 7.4, 6.3, 3.3,11.9,12.0,11.6,10.9,12.3, 7.4,10.0, 9.7,10.4
61, 8, 6.5, 7.0, 6.7, 6.1, 3.7, 9.0, 9.5, 9.4, 8.9, 9.6, 5.2, 6.7, 6.9, 7.2
61, 9, 5.3, 6.5, 6.6, 6.4, 4.6, 7.9, 8.8, 8.9, 8.7, 8.9, 5.1, 6.1, 6.9, 7.0
61,10, 3.2, 4.3, 4.6, 4.6, 3.8, 4.5, 5.4, 5.6, 5.6, 5.6, 3.1, 3.0, 3.9, 4.0
61,11, 2.0, 3.1, 3.5, 3.6, 3.3, 2.8, 3.7, 4.0, 4.1, 4.1, 2.4, 1.8, 2.7, 2.8
61,12, 1.1, 1.5, 1.7, 1.7, 1.5, 1.3, 1.6, 1.8, 1.8, 1.8, 0.8, 0.5, 0.8, 0.9
62, 1, 1.7, 2.4, 2.7, 2.8, 2.6, 2.2, 2.8, 3.0, 3.1, 3.2, 1.5, 1.1, 1.7, 1.8
62, 2, 2.4, 3.2, 3.4, 3.5, 3.0, 3.1, 3.7, 3.9, 4.0, 4.0, 2.0, 1.7, 2.4, 2.4
62, 3, 3.6, 4.3, 4.4, 4.3, 3.2, 4.8, 5.3, 5.4, 5.3, 5.4, 2.6, 2.9, 3.5, 3.5
62, 4, 5.6, 6.3, 6.2, 5.8, 3.8, 7.7, 8.3, 8.2, 7.9, 8.3, 4.2, 5.3, 5.7, 5.8
62, 5, 5.5, 5.6, 5.2, 4.6, 2.7, 6.9, 7.1, 6.8, 6.4, 7.2, 3.2, 4.1, 4.1, 4.3
62, 6, 8.2, 7.9, 7.2, 6.2, 3.1,11.6,11.6,11.2,10.5,11.9, 7.0, 9.3, 8.8, 9.6
62, 7, 8.1, 8.1, 7.4, 6.4, 3.3,11.7,11.9,11.5,10.8,12.1, 7.2, 9.6, 9.3,10.0
62, 8, 6.5, 7.1, 6.8, 6.2, 3.8, 9.3, 9.9, 9.7, 9.3, 9.9, 5.5, 7.3, 7.5, 7.7
62, 9, 5.2, 6.3, 6.4, 6.1, 4.4, 7.5, 8.4, 8.5, 8.3, 8.5, 4.7, 5.5, 6.3, 6.3
62,10, 2.8, 3.7, 3.9, 3.9, 3.2, 3.7, 4.4, 4.6, 4.6, 4.7, 2.4, 2.2, 3.0, 3.0
62,11, 1.6, 2.3, 2.4, 2.5, 2.2, 2.1, 2.6, 2.7, 2.8, 2.8, 1.3, 1.0, 1.5, 1.5
62,12, 1.2, 1.8, 2.0, 2.0, 1.8, 1.5, 2.0, 2.1, 2.2, 2.2, 1.1, 0.7, 1.2, 1.3
63, 1, 1.8, 3.0, 3.5, 3.7, 3.4, 2.8, 3.7, 4.0, 4.2, 4.2, 2.7, 1.9, 2.9, 3.1
63, 2, 2.2, 3.0, 3.2, 3.2, 2.7, 2.8, 3.4, 3.6, 3.6, 3.6, 1.8, 1.5, 2.1, 2.2
63, 3, 3.7, 4.6, 4.7, 4.6, 3.6, 4.9, 5.6, 5.7, 5.6, 5.7, 2.8, 2.9, 3.5, 3.6
63, 4, 4.3, 4.6, 4.5, 4.1, 2.7, 5.2, 5.5, 5.4, 5.1, 5.5, 2.2, 2.6, 2.8, 2.8
63, 5, 6.1, 6.1, 5.7, 5.0, 2.8, 7.9, 8.1, 7.8, 7.3, 8.2, 4.1, 5.4, 5.3, 5.6
63, 6, 6.8, 6.7, 6.1, 5.3, 2.8, 8.9, 8.9, 8.6, 8.0, 9.1, 4.7, 6.1, 5.8, 6.3
63, 7, 7.5, 7.5, 6.9, 6.0, 3.2,10.3,10.5,10.1, 9.5,10.7, 6.0, 7.9, 7.6, 8.1
63, 8, 6.8, 7.4, 7.1, 6.4, 3.9, 9.6,10.1,10.0, 9.5,10.2, 5.7, 7.4, 7.6, 7.8
63, 9, 5.2, 6.3, 6.4, 6.2, 4.5, 7.3, 8.2, 8.3, 8.1, 8.3, 4.7, 5.4, 6.2, 6.2
63,10, 2.7, 3.5, 3.6, 3.6, 3.0, 3.5, 4.1, 4.2, 4.2, 4.3, 2.1, 2.0, 2.6, 2.6
63,11, 1.4, 1.9, 2.0, 2.1, 1.8, 1.7, 2.0, 2.2, 2.2, 2.2, 0.9, 0.6, 1.0, 1.1
63,12, 1.3, 1.8, 2.0, 2.1, 1.9, 1.6, 2.0, 2.2, 2.3, 2.3, 1.1, 0.7, 1.2, 1.3
64, 1, 1.1, 1.5, 1.6, 1.6, 1.4, 1.4, 1.6, 1.7, 1.7, 1.7, 0.6, 0.4, 0.7, 0.8
64, 2, 3.0, 4.4, 4.8, 4.9, 4.3, 4.5, 5.5, 5.9, 6.0, 6.0, 3.6, 3.1, 4.3, 4.4
64, 3, 3.5, 4.2, 4.3, 4.2, 3.2, 4.4, 5.0, 5.1, 5.0, 5.1, 2.3, 2.4, 3.0, 3.0
64, 4, 5.7, 6.4, 6.3, 5.8, 3.9, 7.8, 8.4, 8.4, 8.1, 8.5, 4.2, 5.3, 5.7, 5.8
64, 5, 6.4, 6.5, 6.1, 5.4, 3.1, 8.2, 8.4, 8.2, 7.7, 8.5, 4.2, 5.4, 5.3, 5.7
64, 6, 6.5, 6.4, 5.9, 5.1, 2.7, 8.4, 8.4, 8.1, 7.5, 8.6, 4.2, 5.4, 5.1, 5.6
64, 7, 7.1, 7.1, 6.5, 5.7, 3.0, 9.7, 9.8, 9.5, 8.9,10.0, 5.4, 7.1, 6.8, 7.4
64, 8, 6.9, 7.5, 7.3, 6.6, 4.0,10.0,10.6,10.4, 9.9,10.6, 6.0, 7.9, 8.1, 8.4
