"City:    ","SEATTLE               "
"State:   ","WA"
"WBAN No: ", 24233
"Lat(N):  ", 47.45
"Long(W): ",122.30
"Elev(m): ",   122
"Pres(mb):",  1001
"Stn Type:","Primary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 1.1, 1.9, 2.1, 2.2, 2.1, 1.6, 2.2, 2.4, 2.5, 2.5, 1.5, 1.0, 1.7, 1.8
61, 2, 1.3, 1.6, 1.6, 1.6, 1.4, 1.5, 1.7, 1.8, 1.7, 1.8, 0.6, 0.5, 0.7, 0.7
61, 3, 2.6, 3.2, 3.3, 3.1, 2.5, 3.4, 3.8, 3.9, 3.8, 3.9, 1.6, 1.7, 2.2, 2.2
61, 4, 3.5, 3.8, 3.6, 3.3, 2.4, 4.3, 4.6, 4.5, 4.3, 4.6, 1.6, 2.0, 2.3, 2.3
61, 5, 5.3, 5.4, 5.1, 4.5, 2.9, 6.7, 6.9, 6.7, 6.3, 7.0, 3.2, 4.1, 4.1, 4.4
61, 6, 6.7, 6.6, 6.1, 5.2, 3.2, 9.1, 9.3, 8.9, 8.3, 9.5, 4.9, 6.4, 6.2, 6.7
61, 7, 6.6, 6.6, 6.1, 5.3, 3.3, 9.0, 9.2, 8.9, 8.4, 9.4, 4.9, 6.5, 6.3, 6.8
61, 8, 5.6, 6.2, 5.9, 5.4, 3.7, 7.7, 8.2, 8.1, 7.7, 8.3, 4.3, 5.4, 5.7, 5.9
61, 9, 4.1, 5.1, 5.2, 5.0, 3.8, 5.7, 6.5, 6.6, 6.4, 6.6, 3.4, 3.8, 4.6, 4.6
61,10, 2.3, 3.3, 3.5, 3.5, 3.0, 3.2, 4.0, 4.1, 4.1, 4.2, 2.2, 1.9, 2.7, 2.7
61,11, 1.4, 2.2, 2.4, 2.5, 2.3, 1.9, 2.6, 2.8, 2.8, 2.8, 1.6, 1.1, 1.8, 1.9
61,12, 0.8, 1.3, 1.4, 1.5, 1.4, 1.0, 1.4, 1.5, 1.6, 1.6, 0.8, 0.5, 0.9, 0.9
62, 1, 1.1, 1.9, 2.2, 2.3, 2.1, 1.6, 2.2, 2.4, 2.5, 2.5, 1.5, 0.9, 1.6, 1.7
62, 2, 1.9, 2.9, 3.1, 3.2, 2.8, 2.8, 3.5, 3.7, 3.8, 3.8, 2.1, 1.7, 2.5, 2.6
62, 3, 3.0, 3.9, 4.0, 3.9, 3.1, 4.1, 4.8, 4.9, 4.8, 4.9, 2.3, 2.4, 3.0, 3.0
62, 4, 4.1, 4.6, 4.4, 4.1, 2.9, 5.2, 5.6, 5.5, 5.3, 5.6, 2.3, 2.8, 3.1, 3.1
62, 5, 4.6, 4.7, 4.4, 3.9, 2.6, 5.5, 5.7, 5.5, 5.1, 5.8, 2.2, 2.7, 2.8, 2.9
62, 6, 6.1, 6.0, 5.5, 4.7, 2.9, 8.0, 8.1, 7.8, 7.3, 8.3, 3.9, 5.1, 4.9, 5.3
62, 7, 6.3, 6.3, 5.9, 5.1, 3.2, 8.4, 8.6, 8.3, 7.8, 8.7, 4.3, 5.6, 5.5, 5.9
62, 8, 4.8, 5.2, 5.0, 4.6, 3.2, 6.3, 6.7, 6.6, 6.2, 6.7, 3.0, 3.8, 4.1, 4.2
62, 9, 3.9, 4.8, 4.8, 4.6, 3.5, 5.3, 6.1, 6.1, 5.9, 6.1, 3.2, 3.6, 4.2, 4.2
62,10, 2.2, 3.0, 3.1, 3.1, 2.7, 2.9, 3.5, 3.7, 3.7, 3.7, 1.8, 1.6, 2.2, 2.2
62,11, 1.1, 1.6, 1.7, 1.7, 1.5, 1.3, 1.7, 1.8, 1.8, 1.9, 0.9, 0.6, 1.0, 1.0
62,12, 0.8, 1.4, 1.5, 1.6, 1.5, 1.1, 1.5, 1.6, 1.7, 1.7, 0.9, 0.5, 0.9, 1.0
63, 1, 1.1, 1.9, 2.1, 2.2, 2.0, 1.6, 2.2, 2.3, 2.4, 2.4, 1.4, 0.9, 1.5, 1.6
63, 2, 1.7, 2.3, 2.5, 2.5, 2.2, 2.1, 2.7, 2.8, 2.8, 2.8, 1.3, 1.0, 1.5, 1.6
63, 3, 2.7, 3.4, 3.4, 3.3, 2.7, 3.3, 3.9, 4.0, 3.9, 4.0, 1.8, 1.7, 2.2, 2.2
63, 4, 3.6, 3.9, 3.8, 3.5, 2.5, 4.3, 4.6, 4.6, 4.3, 4.7, 1.7, 2.0, 2.3, 2.3
63, 5, 6.1, 6.3, 5.9, 5.2, 3.3, 8.2, 8.6, 8.3, 7.8, 8.7, 4.3, 5.7, 5.7, 6.0
63, 6, 5.2, 5.1, 4.7, 4.1, 2.6, 6.3, 6.3, 6.1, 5.6, 6.5, 2.9, 3.6, 3.5, 3.8
63, 7, 5.4, 5.4, 5.0, 4.4, 2.8, 6.8, 6.9, 6.7, 6.2, 7.1, 3.0, 3.9, 3.8, 4.1
63, 8, 5.0, 5.4, 5.2, 4.7, 3.3, 6.4, 6.9, 6.7, 6.4, 6.9, 3.1, 3.8, 4.0, 4.1
63, 9, 3.9, 4.9, 4.9, 4.7, 3.7, 5.2, 6.0, 6.0, 5.8, 6.1, 3.1, 3.3, 4.0, 4.0
63,10, 2.0, 2.7, 2.8, 2.7, 2.3, 2.5, 3.0, 3.1, 3.1, 3.1, 1.4, 1.2, 1.7, 1.7
