"City:    ","MCGRATH               "
"State:   ","AK"
"WBAN No: ", 26510
"Lat(N):  ", 62.97
"Long(W): ",155.62
"Elev(m): ",   103
"Pres(mb):",   997
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 0.3, 1.3, 1.5, 1.6, 1.6, 0.6, 1.5, 1.6, 1.7, 1.7, 1.3, 0.4, 1.3, 1.3
61, 2, 1.0, 2.9, 3.2, 3.3, 3.3, 2.0, 3.4, 3.7, 3.8, 3.8, 2.5, 1.4, 2.8, 2.9
61, 3, 2.6, 5.2, 5.5, 5.5, 5.3, 5.0, 6.8, 7.1, 7.1, 7.1, 3.8, 3.4, 5.1, 5.1
61, 4, 3.6, 4.6, 4.5, 4.3, 3.9, 5.2, 6.1, 6.0, 5.8, 6.1, 2.2, 2.6, 3.2, 3.2
61, 5, 4.8, 5.4, 5.0, 4.4, 3.8, 7.1, 7.8, 7.5, 7.1, 7.9, 3.7, 4.7, 5.1, 5.4
61, 6, 4.3, 4.3, 3.9, 3.4, 2.8, 5.1, 5.3, 5.1, 4.7, 5.5, 1.9, 2.2, 2.3, 2.5
61, 7, 4.0, 3.9, 3.6, 3.1, 2.6, 5.3, 5.5, 5.3, 5.0, 5.7, 2.0, 2.7, 2.8, 3.0
61, 8, 2.9, 3.3, 3.1, 2.8, 2.4, 3.8, 4.2, 4.0, 3.8, 4.2, 1.5, 1.8, 2.1, 2.1
61, 9, 1.9, 2.5, 2.4, 2.3, 2.0, 2.6, 3.0, 3.0, 2.9, 3.1, 1.3, 1.3, 1.8, 1.8
61,10, 1.1, 2.3, 2.4, 2.4, 2.3, 1.8, 2.7, 2.8, 2.8, 2.8, 1.5, 1.0, 1.8, 1.8
61,11, 0.4, 1.1, 1.3, 1.3, 1.3, 0.6, 1.2, 1.4, 1.4, 1.4, 0.8, 0.3, 0.8, 0.9
