"City:    ","BETTLES               "
"State:   ","AK"
"WBAN No: ", 26533
"Lat(N):  ", 66.92
"Long(W): ",151.52
"Elev(m): ",   205
"Pres(mb):",   988
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 0.1, 0.5, 0.6, 0.6, 0.6, 0.2, 0.5, 0.6, 0.6, 0.6, 0.5, 0.1, 0.5, 0.6
61, 2, 0.6, 2.5, 2.7, 2.8, 2.8, 1.5, 2.9, 3.1, 3.2, 3.2, 2.2, 1.1, 2.5, 2.5
61, 3, 2.0, 4.6, 4.8, 4.8, 4.7, 4.0, 5.9, 6.1, 6.1, 6.1, 3.4, 2.8, 4.4, 4.4
61, 4, 4.1, 6.2, 6.2, 5.9, 5.7, 7.3, 9.0, 9.0, 8.8, 9.0, 4.2, 4.9, 6.1, 6.2
61, 5, 5.1, 6.0, 5.7, 5.0, 4.6, 8.3, 9.3, 9.1, 8.8, 9.5, 4.4, 5.6, 6.3, 6.6
61, 6, 5.5, 5.6, 5.1, 4.4, 3.9, 7.8, 8.4, 8.2, 7.8, 8.9, 3.9, 4.7, 5.1, 5.5
61, 7, 4.7, 4.9, 4.4, 3.8, 3.4, 6.5, 7.1, 6.8, 6.5, 7.3, 3.0, 3.7, 4.1, 4.3
61, 8, 3.0, 3.5, 3.3, 2.9, 2.7, 4.3, 4.8, 4.6, 4.4, 4.8, 1.8, 2.2, 2.6, 2.7
61, 9, 1.8, 2.4, 2.3, 2.1, 2.0, 2.5, 3.0, 2.9, 2.8, 3.0, 1.2, 1.2, 1.7, 1.7
61,10, 0.8, 1.6, 1.7, 1.7, 1.7, 1.2, 1.8, 1.9, 1.9, 1.9, 0.9, 0.5, 1.0, 1.0
61,11, 0.2, 0.7, 0.8, 0.9, 0.9, 0.3, 0.8, 0.9, 0.9, 0.9, 0.6, 0.2, 0.6, 0.7
61,12, 0.0, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.1
62, 1, 0.1, 0.4, 0.4, 0.5, 0.5, 0.1, 0.4, 0.5, 0.5, 0.5, 0.4, 0.1, 0.4, 0.4
62, 2, 0.6, 1.4, 1.5, 1.5, 1.5, 0.9, 1.6, 1.7, 1.7, 1.7, 0.8, 0.4, 0.9, 0.9
62, 3, 1.6, 3.3, 3.5, 3.5, 3.4, 3.0, 4.2, 4.4, 4.3, 4.4, 2.3, 1.9, 3.0, 3.0
62, 4, 3.3, 4.8, 4.8, 4.6, 4.4, 5.7, 6.9, 6.9, 6.7, 6.9, 3.0, 3.6, 4.4, 4.5
62, 5, 4.8, 5.4, 5.2, 4.7, 4.4, 7.0, 7.7, 7.6, 7.3, 7.9, 2.9, 3.5, 4.0, 4.2
62, 6, 5.4, 5.6, 5.1, 4.3, 3.8, 7.7, 8.3, 8.1, 7.6, 8.7, 3.9, 4.7, 5.0, 5.5
