"City:    ","NOME                  "
"State:   ","AK"
"WBAN No: ", 26617
"Lat(N):  ", 64.50
"Long(W): ",165.43
"Elev(m): ",     7
"Pres(mb):",  1009
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 0.2, 0.5, 0.6, 0.6, 0.6, 0.3, 0.5, 0.6, 0.6, 0.6, 0.3, 0.1, 0.3, 0.4
61, 2, 1.0, 3.6, 4.1, 4.2, 4.2, 2.4, 4.4, 4.7, 4.8, 4.8, 3.4, 1.9, 3.8, 3.9
61, 3, 2.3, 4.5, 4.8, 4.8, 4.6, 4.2, 5.8, 6.0, 5.9, 6.0, 3.0, 2.5, 3.9, 3.9
61, 4, 4.1, 5.4, 5.3, 5.1, 4.8, 6.1, 7.1, 7.1, 6.9, 7.1, 2.4, 2.8, 3.4, 3.5
61, 5, 5.0, 5.7, 5.4, 4.9, 4.4, 7.8, 8.7, 8.5, 8.2, 8.8, 3.8, 5.0, 5.4, 5.8
61, 6, 4.5, 4.3, 3.9, 3.3, 2.9, 5.8, 6.0, 5.8, 5.4, 6.3, 2.4, 3.0, 3.1, 3.4
61, 7, 4.2, 4.2, 3.8, 3.3, 2.8, 5.4, 5.7, 5.4, 5.1, 5.9, 2.3, 2.8, 3.0, 3.2
61, 8, 3.3, 3.9, 3.7, 3.3, 3.0, 4.5, 5.1, 5.0, 4.7, 5.2, 2.1, 2.5, 3.0, 3.0
61, 9, 1.6, 2.1, 2.1, 1.9, 1.8, 2.1, 2.5, 2.5, 2.4, 2.5, 1.0, 1.0, 1.4, 1.4
61,10, 1.0, 2.1, 2.2, 2.2, 2.2, 1.7, 2.5, 2.6, 2.6, 2.7, 1.5, 1.0, 1.7, 1.8
