"City:    ","BARROW                "
"State:   ","AK"
"WBAN No: ", 27502
"Lat(N):  ", 71.30
"Long(W): ",156.78
"Elev(m): ",     4
"Pres(mb):",  1016
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
61, 2, 0.3, 1.5, 1.6, 1.6, 1.6, 0.7, 1.6, 1.7, 1.8, 1.8, 1.2, 0.5, 1.3, 1.3
61, 3, 1.5, 3.4, 3.5, 3.5, 3.5, 2.8, 4.2, 4.3, 4.3, 4.3, 2.1, 1.6, 2.6, 2.7
61, 4, 4.0, 6.5, 6.5, 6.2, 6.1, 7.3, 9.4, 9.4, 9.2, 9.4, 4.2, 4.6, 6.1, 6.2
61, 5, 4.6, 5.0, 4.8, 4.5, 4.4, 6.0, 6.6, 6.5, 6.3, 6.8, 1.6, 2.0, 2.3, 2.4
61, 6, 4.7, 4.6, 4.2, 3.7, 3.6, 6.1, 6.6, 6.4, 6.2, 6.9, 2.3, 2.5, 2.9, 3.2
61, 7, 3.7, 3.5, 3.1, 2.7, 2.6, 4.4, 4.6, 4.4, 4.1, 4.8, 1.4, 1.6, 1.9, 2.0
61, 8, 2.3, 2.1, 1.9, 1.7, 1.6, 2.4, 2.4, 2.3, 2.1, 2.5, 0.4, 0.5, 0.6, 0.6
61, 9, 1.2, 1.3, 1.3, 1.1, 1.1, 1.3, 1.4, 1.4, 1.3, 1.4, 0.3, 0.2, 0.4, 0.4
61,10, 0.4, 0.8, 0.8, 0.8, 0.8, 0.6, 0.8, 0.8, 0.8, 0.8, 0.2, 0.1, 0.3, 0.3
61,11, 0.0, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.1
61,12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
62, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
62, 2, 0.2, 0.8, 0.8, 0.8, 0.8, 0.4, 0.8, 0.9, 0.9, 0.9, 0.4, 0.2, 0.5, 0.5
62, 3, 1.6, 4.0, 4.2, 4.2, 4.1, 3.3, 5.1, 5.2, 5.2, 5.2, 2.7, 2.1, 3.5, 3.5
62, 4, 3.7, 5.8, 5.8, 5.6, 5.4, 6.6, 8.3, 8.4, 8.1, 8.4, 3.5, 3.9, 5.1, 5.2
62, 5, 4.9, 5.6, 5.4, 5.1, 4.9, 6.6, 7.5, 7.4, 7.1, 7.6, 2.2, 2.5, 3.0, 3.1
62, 6, 5.4, 5.5, 5.1, 4.6, 4.5, 7.3, 8.1, 7.9, 7.7, 8.4, 2.8, 3.2, 3.7, 4.0
