"City:    ","GUAM                  "
"State:   ","PI"
"WBAN No: ", 41415
"Lat(N):  ", 13.55
"Long(E): ",144.83
"Elev(m): ",   110
"Pres(mb):",   998
"Stn Type:","Primary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 4.1, 4.0, 4.5, 4.8, 3.4, 5.0, 5.0, 5.4, 5.6, 5.7, 2.5, 2.6, 2.9, 3.1
61, 2, 5.1, 5.0, 5.6, 5.8, 3.6, 6.6, 6.5, 6.9, 7.1, 7.1, 3.3, 4.0, 4.2, 4.3
61, 3, 5.5, 5.4, 5.7, 5.6, 2.6, 7.0, 6.9, 7.1, 7.0, 7.1, 3.1, 4.0, 4.1, 4.1
61, 4, 6.3, 6.3, 6.2, 5.8, 1.7, 8.4, 8.4, 8.3, 8.0, 8.4, 4.0, 5.5, 5.4, 5.5
61, 5, 6.0, 6.0, 5.7, 5.1, 1.5, 7.6, 7.6, 7.3, 6.9, 7.7, 3.5, 4.5, 4.3, 4.6
61, 6, 5.5, 5.5, 5.2, 4.5, 1.5, 6.7, 6.7, 6.4, 6.0, 6.9, 3.0, 3.7, 3.5, 3.8
61, 7, 5.4, 5.4, 5.1, 4.5, 1.5, 6.6, 6.7, 6.4, 6.0, 6.7, 2.8, 3.5, 3.4, 3.6
61, 8, 4.6, 4.6, 4.4, 4.1, 1.5, 5.4, 5.4, 5.3, 5.1, 5.4, 1.8, 2.4, 2.4, 2.4
61, 9, 5.1, 5.0, 5.1, 4.9, 2.1, 6.1, 6.1, 6.2, 6.1, 6.2, 2.4, 3.1, 3.2, 3.2
61,10, 4.4, 4.3, 4.6, 4.6, 2.6, 5.2, 5.2, 5.4, 5.4, 5.4, 2.0, 2.4, 2.5, 2.6
61,11, 5.0, 4.9, 5.6, 6.0, 4.2, 6.6, 6.5, 7.0, 7.3, 7.4, 3.8, 4.2, 4.5, 4.7
61,12, 4.4, 4.3, 5.0, 5.4, 4.1, 5.7, 5.6, 6.1, 6.4, 6.6, 3.3, 3.4, 3.8, 4.1
62, 1, 4.9, 4.8, 5.6, 6.1, 4.5, 6.6, 6.5, 7.1, 7.5, 7.6, 4.1, 4.4, 4.8, 5.2
62, 2, 4.7, 4.6, 5.0, 5.2, 3.2, 5.8, 5.8, 6.1, 6.2, 6.2, 2.6, 3.0, 3.2, 3.3
62, 3, 5.9, 5.9, 6.1, 6.1, 2.8, 7.6, 7.6, 7.8, 7.7, 7.8, 3.7, 4.8, 4.9, 4.9
