"City:    ","CEDAR CITY            "
"State:   ","UT"
"WBAN No: ", 93129
"Lat(N):  ", 37.70
"Long(W): ",113.10
"Elev(m): ",  1712
"Pres(mb):",   829
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 2.9, 4.6, 5.4, 5.9, 5.6, 4.8, 6.1, 6.7, 7.1, 7.2, 5.0, 3.9, 5.6, 6.0
61, 2, 3.1, 4.1, 4.5, 4.6, 3.8, 4.6, 5.3, 5.6, 5.7, 5.7, 3.0, 3.0, 3.9, 4.0
61, 3, 4.2, 4.9, 5.1, 5.0, 3.9, 5.9, 6.5, 6.6, 6.6, 6.6, 3.0, 3.7, 4.3, 4.3
61, 4, 6.2, 6.8, 6.7, 6.2, 3.7, 8.8, 9.3, 9.2, 8.9, 9.3, 5.0, 6.6, 6.9, 7.0
61, 5, 7.0, 7.0, 6.5, 5.7, 2.8, 9.9,10.0, 9.7, 9.1,10.1, 5.5, 7.5, 7.3, 7.7
61, 6, 7.9, 7.7, 7.0, 6.0, 2.6,11.1,11.1,10.6,10.0,11.4, 6.5, 8.7, 8.2, 8.9
61, 7, 6.9, 6.8, 6.3, 5.4, 2.6, 9.4, 9.4, 9.1, 8.6, 9.6, 4.9, 6.7, 6.3, 6.8
61, 8, 5.5, 5.7, 5.5, 5.0, 2.8, 7.3, 7.6, 7.4, 7.1, 7.6, 3.6, 4.8, 4.9, 5.0
61, 9, 5.5, 6.4, 6.5, 6.3, 4.2, 8.3, 9.0, 9.1, 8.9, 9.1, 5.0, 6.5, 7.2, 7.2
61,10, 4.3, 5.7, 6.2, 6.3, 5.0, 6.7, 7.7, 8.1, 8.1, 8.2, 5.0, 5.4, 6.6, 6.6
61,11, 3.0, 4.3, 5.0, 5.3, 4.7, 4.7, 5.7, 6.2, 6.4, 6.5, 4.2, 3.6, 4.9, 5.2
61,12, 2.4, 3.7, 4.4, 4.8, 4.6, 3.8, 4.8, 5.3, 5.6, 5.7, 3.8, 2.9, 4.2, 4.6
62, 1, 2.9, 4.5, 5.2, 5.7, 5.5, 4.7, 5.8, 6.4, 6.8, 6.9, 4.5, 3.6, 5.1, 5.4
62, 2, 3.0, 3.9, 4.3, 4.4, 3.8, 4.3, 5.0, 5.2, 5.3, 5.3, 2.8, 2.7, 3.5, 3.6
62, 3, 4.6, 5.5, 5.7, 5.6, 4.2, 6.5, 7.2, 7.4, 7.3, 7.4, 3.8, 4.5, 5.2, 5.2
62, 4, 6.0, 6.5, 6.4, 5.9, 3.5, 8.5, 8.9, 8.9, 8.5, 8.9, 4.6, 6.2, 6.5, 6.6
62, 5, 6.3, 6.3, 5.9, 5.3, 2.7, 8.4, 8.5, 8.3, 7.8, 8.6, 4.2, 5.6, 5.5, 5.8
62, 6, 7.8, 7.6, 6.9, 5.9, 2.5,10.9,10.9,10.4, 9.8,11.2, 6.5, 8.7, 8.2, 8.9
62, 7, 7.6, 7.4, 6.8, 5.9, 2.7,10.7,10.7,10.3, 9.7,10.9, 5.9, 8.2, 7.8, 8.3
62, 8, 7.1, 7.5, 7.2, 6.5, 3.5,10.4,10.8,10.6,10.1,10.8, 6.1, 8.4, 8.4, 8.7
62, 9, 6.0, 6.9, 7.1, 6.8, 4.5, 9.1, 9.9,10.0, 9.8,10.0, 5.7, 7.4, 8.1, 8.2
62,10, 4.4, 5.8, 6.4, 6.5, 5.2, 6.8, 7.9, 8.3, 8.4, 8.4, 5.4, 5.6, 6.9, 7.0
62,11, 3.0, 4.3, 5.0, 5.3, 4.7, 4.7, 5.7, 6.1, 6.4, 6.4, 4.1, 3.5, 4.8, 5.0
62,12, 2.7, 4.5, 5.4, 6.0, 5.8, 4.7, 6.0, 6.7, 7.1, 7.3, 5.2, 3.9, 5.7, 6.2
63, 1, 2.9, 4.5, 5.3, 5.7, 5.5, 4.8, 5.9, 6.5, 6.9, 7.0, 4.7, 3.8, 5.3, 5.7
63, 2, 3.5, 4.7, 5.2, 5.4, 4.6, 5.2, 6.1, 6.4, 6.6, 6.6, 3.8, 3.6, 4.7, 4.8
63, 3, 4.4, 5.3, 5.4, 5.3, 3.9, 6.2, 6.9, 7.0, 6.9, 7.0, 3.6, 4.3, 5.0, 5.0
63, 4, 5.2, 5.5, 5.4, 5.0, 3.1, 6.8, 7.1, 7.1, 6.8, 7.2, 3.0, 4.1, 4.3, 4.3
63, 5, 7.3, 7.3, 6.8, 6.1, 2.9,10.1,10.3,10.0, 9.4,10.4, 5.7, 7.7, 7.5, 7.9
63, 6, 7.4, 7.1, 6.5, 5.6, 2.5,10.2,10.2, 9.8, 9.1,10.4, 5.7, 7.7, 7.2, 7.8
63, 7, 7.8, 7.6, 7.0, 6.1, 2.8,10.9,11.0,10.6,10.0,11.2, 6.3, 8.5, 8.1, 8.7
63, 8, 5.6, 5.8, 5.6, 5.1, 2.9, 7.5, 7.7, 7.6, 7.2, 7.8, 3.6, 4.8, 4.9, 5.0
63, 9, 5.6, 6.5, 6.7, 6.4, 4.3, 8.4, 9.1, 9.2, 9.0, 9.2, 5.1, 6.5, 7.2, 7.2
63,10, 4.2, 5.5, 6.0, 6.1, 4.8, 6.4, 7.3, 7.7, 7.8, 7.8, 4.7, 4.9, 6.1, 6.1
63,11, 2.8, 4.1, 4.7, 4.9, 4.4, 4.3, 5.2, 5.6, 5.9, 5.9, 3.6, 3.0, 4.2, 4.4
63,12, 2.3, 3.7, 4.3, 4.7, 4.4, 3.7, 4.7, 5.2, 5.4, 5.6, 3.7, 2.7, 4.0, 4.4
64, 1, 2.7, 4.1, 4.7, 5.1, 4.6, 4.2, 5.2, 5.7, 6.0, 6.1, 3.9, 3.1, 4.4, 4.7
64, 2, 3.8, 5.3, 5.9, 6.1, 5.2, 6.0, 7.0, 7.5, 7.7, 7.7, 4.8, 4.6, 5.9, 6.1
64, 3, 4.8, 5.7, 5.9, 5.8, 4.3, 6.9, 7.6, 7.8, 7.7, 7.8, 4.1, 4.9, 5.6, 5.6
64, 4, 5.6, 6.0, 5.9, 5.5, 3.4, 7.8, 8.1, 8.1, 7.8, 8.2, 4.0, 5.3, 5.6, 5.6
64, 5, 6.7, 6.7, 6.2, 5.5, 2.7, 9.2, 9.2, 9.0, 8.4, 9.4, 4.8, 6.5, 6.3, 6.7
64, 6, 7.6, 7.3, 6.7, 5.8, 2.6,10.3,10.3, 9.9, 9.2,10.5, 5.7, 7.6, 7.1, 7.7
64, 7, 7.2, 7.1, 6.5, 5.7, 2.6, 9.8, 9.9, 9.5, 8.9,10.1, 5.4, 7.3, 6.9, 7.4
64, 8, 6.5, 6.9, 6.7, 6.1, 3.3, 9.2, 9.6, 9.4, 9.0, 9.6, 5.0, 6.8, 6.9, 7.1
64, 9, 5.8, 6.8, 7.0, 6.7, 4.5, 8.7, 9.5, 9.6, 9.4, 9.6, 5.5, 6.9, 7.6, 7.7
64,10, 4.7, 6.3, 6.8, 7.0, 5.6, 7.3, 8.5, 8.9, 9.0, 9.0, 5.7, 6.0, 7.4, 7.5
64,11, 2.9, 4.2, 4.8, 5.2, 4.7, 4.4, 5.3, 5.8, 6.1, 6.2, 3.8, 3.1, 4.3, 4.5
64,12, 2.1, 3.0, 3.5, 3.8, 3.5, 3.0, 3.7, 4.1, 4.3, 4.3, 2.6, 1.9, 2.8, 3.0
65, 1, 2.5, 3.6, 4.1, 4.4, 4.0, 3.6, 4.4, 4.9, 5.1, 5.2, 3.1, 2.4, 3.4, 3.7
65, 2, 3.9, 5.3, 6.0, 6.3, 5.5, 6.0, 7.1, 7.6, 7.8, 7.8, 4.7, 4.4, 5.8, 5.9
65, 3, 4.7, 5.7, 6.0, 5.9, 4.3, 6.9, 7.6, 7.8, 7.7, 7.8, 4.2, 4.9, 5.7, 5.8
65, 4, 5.3, 5.7, 5.6, 5.2, 3.2, 7.1, 7.4, 7.3, 7.0, 7.4, 3.3, 4.3, 4.5, 4.6
65, 5, 6.5, 6.5, 6.1, 5.4, 2.7, 8.6, 8.7, 8.4, 8.0, 8.8, 4.2, 5.7, 5.5, 5.8
65, 6, 7.0, 6.8, 6.2, 5.4, 2.5, 9.3, 9.3, 8.9, 8.3, 9.5, 4.8, 6.3, 6.0, 6.5
65, 7, 6.8, 6.6, 6.1, 5.3, 2.5, 9.1, 9.1, 8.8, 8.3, 9.3, 4.7, 6.3, 6.0, 6.5
65, 8, 6.6, 7.0, 6.7, 6.1, 3.3, 9.5, 9.8, 9.6, 9.2, 9.8, 5.2, 7.1, 7.2, 7.4
65, 9, 5.6, 6.5, 6.6, 6.3, 4.3, 8.2, 8.9, 9.0, 8.8, 9.0, 4.9, 6.2, 6.9, 6.9
65,10, 4.6, 6.1, 6.7, 6.8, 5.5, 7.1, 8.2, 8.6, 8.7, 8.8, 5.5, 5.7, 7.1, 7.2
65,11, 2.6, 3.6, 4.0, 4.2, 3.7, 3.7, 4.5, 4.8, 5.0, 5.0, 2.9, 2.4, 3.3, 3.5
65,12, 2.1, 3.1, 3.5, 3.8, 3.6, 3.0, 3.8, 4.1, 4.4, 4.4, 2.6, 1.9, 2.8, 3.0
66, 1, 2.8, 4.3, 5.1, 5.5, 5.2, 4.5, 5.6, 6.2, 6.6, 6.6, 4.4, 3.4, 4.9, 5.2
66, 2, 3.2, 4.2, 4.6, 4.8, 4.1, 4.7, 5.4, 5.8, 5.9, 5.9, 3.1, 3.0, 3.9, 4.0
66, 3, 4.7, 5.7, 5.9, 5.8, 4.3, 6.7, 7.5, 7.7, 7.6, 7.7, 4.0, 4.7, 5.5, 5.5
66, 4, 6.4, 7.0, 6.9, 6.4, 3.9, 9.3, 9.8, 9.8, 9.4, 9.9, 5.4, 7.2, 7.6, 7.7
66, 5, 7.4, 7.4, 6.9, 6.1, 2.9,10.5,10.6,10.3, 9.7,10.7, 5.9, 8.1, 7.9, 8.4
66, 6, 7.6, 7.3, 6.7, 5.8, 2.5,10.5,10.5,10.1, 9.4,10.7, 5.9, 8.0, 7.5, 8.1
66, 7, 6.8, 6.7, 6.1, 5.3, 2.5, 9.1, 9.1, 8.8, 8.3, 9.3, 4.6, 6.2, 5.9, 6.3
66, 8, 6.6, 6.9, 6.6, 6.0, 3.3, 9.4, 9.7, 9.5, 9.1, 9.7, 5.1, 7.0, 7.0, 7.2
66, 9, 5.6, 6.5, 6.6, 6.4, 4.3, 8.2, 8.9, 9.0, 8.8, 9.0, 4.9, 6.2, 6.9, 6.9
66,10, 4.3, 5.6, 6.1, 6.2, 5.0, 6.5, 7.5, 7.8, 7.9, 7.9, 4.7, 5.0, 6.1, 6.2
66,11, 2.8, 4.1, 4.6, 4.9, 4.4, 4.2, 5.2, 5.6, 5.8, 5.9, 3.7, 3.1, 4.3, 4.5
66,12, 2.2, 3.4, 3.9, 4.2, 4.0, 3.3, 4.2, 4.6, 4.9, 4.9, 3.0, 2.2, 3.3, 3.5
67, 1, 2.7, 4.0, 4.6, 5.0, 4.9, 4.1, 5.1, 5.6, 5.9, 6.0, 3.5, 2.8, 4.0, 4.3
67, 2, 3.8, 5.2, 5.8, 6.1, 5.2, 5.9, 6.9, 7.4, 7.6, 7.6, 4.7, 4.5, 5.8, 6.0
67, 3, 4.4, 5.2, 5.4, 5.3, 3.9, 6.2, 6.8, 6.9, 6.9, 7.0, 3.5, 4.0, 4.7, 4.7
67, 4, 5.6, 5.9, 5.8, 5.4, 3.4, 7.5, 7.9, 7.8, 7.5, 7.9, 3.6, 4.8, 5.1, 5.2
67, 5, 6.3, 6.2, 5.8, 5.2, 2.6, 8.6, 8.7, 8.4, 7.9, 8.8, 4.1, 5.7, 5.6, 5.9
67, 6, 7.4, 7.1, 6.5, 5.6, 2.5,10.2,10.2, 9.8, 9.2,10.4, 5.6, 7.6, 7.2, 7.8
67, 7, 6.5, 6.4, 5.9, 5.2, 2.5, 8.7, 8.7, 8.4, 7.9, 8.9, 4.2, 5.7, 5.4, 5.8
67, 8, 6.1, 6.4, 6.2, 5.6, 3.1, 8.4, 8.7, 8.6, 8.1, 8.7, 4.3, 5.8, 5.8, 6.0
67, 9, 5.0, 5.7, 5.8, 5.6, 3.8, 7.1, 7.7, 7.8, 7.6, 7.8, 3.9, 4.9, 5.5, 5.5
