"City:    ","EVANSVILLE            "
"State:   ","IN"
"WBAN No: ", 93817
"Lat(N):  ", 38.05
"Long(W): ", 87.53
"Elev(m): ",   118
"Pres(mb):",  1004
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 2.3, 3.5, 4.0, 4.3, 4.0, 3.4, 4.2, 4.7, 4.9, 4.9, 2.9, 2.2, 3.2, 3.4
61, 2, 2.6, 3.2, 3.4, 3.4, 2.8, 3.3, 3.7, 3.9, 3.9, 3.9, 1.7, 1.6, 2.1, 2.1
61, 3, 3.4, 3.9, 3.9, 3.8, 2.8, 4.2, 4.6, 4.7, 4.6, 4.7, 2.0, 2.2, 2.6, 2.6
61, 4, 4.4, 4.7, 4.6, 4.2, 2.6, 5.6, 5.8, 5.8, 5.5, 5.9, 2.3, 3.0, 3.2, 3.3
61, 5, 5.7, 5.7, 5.4, 4.8, 2.5, 7.2, 7.3, 7.0, 6.6, 7.4, 3.3, 4.4, 4.3, 4.5
61, 6, 6.6, 6.4, 5.9, 5.1, 2.4, 8.5, 8.4, 8.1, 7.5, 8.6, 4.2, 5.5, 5.2, 5.6
61, 7, 5.9, 5.8, 5.4, 4.8, 2.4, 7.6, 7.6, 7.3, 6.9, 7.8, 3.5, 4.6, 4.4, 4.7
61, 8, 5.5, 5.7, 5.5, 5.0, 2.8, 7.3, 7.5, 7.3, 7.0, 7.5, 3.3, 4.4, 4.5, 4.6
61, 9, 4.8, 5.5, 5.6, 5.4, 3.7, 6.7, 7.2, 7.3, 7.1, 7.3, 3.5, 4.3, 4.8, 4.8
61,10, 3.6, 4.5, 4.8, 4.9, 3.8, 4.9, 5.7, 5.9, 5.9, 6.0, 3.2, 3.3, 4.1, 4.1
